focal_reach,stream_order,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2021
1165,5,0,0,0,0,0,0
1360,5,0,0,0,0,0,0
1471,5,0,0,0,0,0,0
1512,5,0,0,0,0,0,0
1516,5,0,0,0,0,0,0
1578,5,0,0,0,0,0,0
1661,5,0,0,0,0,0,0
1749,5,0,0,0,0,0,0
1847,5,0,0,0,0,0,0
2090,5,0,0,0,0,0,0
2142,5,0,0,0,0,0,0
2167,5,0,0,0,0,0,0
2212,5,0,0,0,0,0,0
2252,5,0,0,0,0,0,0
2284,5,0,0,0,0,0,0
2397,5,0,0,0,0,0,0
2478,5,0,0,0,0,0,0
2589,5,0,0,0,0,0,0
2636,5,0,0,0,0,0,0
2802,5,0,0,0,0,0,0
2881,5,0,0,0,0,0,0
2900,5,0,0,0,0,0,0
2983,5,0,0,0,0,0,0
3054,5,0,0,0,0,0,0
3085,5,0,0,0,0,0,0
3086,5,0,0,0,0,0,0
3099,5,0,0,0,0,0,0
3154,5,0,0,0,0,0,0
3288,5,0,0,0,0,0,0
3326,5,0,0,0,0,0,0
3376,5,0,0,0,0,0,0
3394,5,0,0,0,0,0,0
3690,5,0,0,0,0,0,0
3707,5,0,0,0,0,0,0
3716,5,0,0,0,0,0,0
3781,5,0,0,0,0,0,0
3928,5,0,0,0,0,0,0
3954,5,0,0,0,0,0,0
4128,5,64.38021879057247,53.88962391942657,124.2031769389907,68.73456179850298,103.8492853258796,11.029951792239714
4196,5,0,0,0,0,0,0
4224,5,0,0,0,0,0,0
4298,5,0,0,0,0,0,0
4324,5,0,0,0,0,0,0
4536,5,0,0,0,0,0,0
4657,5,0,0,0,0,0,0
4721,5,0,0,0,0,0,0
4774,5,76.30083577198934,76.73916068541594,139.37936527225574,127.09367514094065,135.26686869479522,14.24929978073239
4864,5,0,0,0,0,0,0
5025,5,87.27303322352272,51.190213448937556,72.9447807446941,0,52.334785666149116,0
5079,5,68.67726037432288,10.590556585348155,104.2529147768606,0,0,0
5134,5,0,0,0,0,0,0
5202,5,1438.6723559475838,1379.1433775853584,2656.4494808884406,2119.4379855594066,2535.7720715346463,240.2879530695686
5277,5,0,0,0,0,0,0
5285,5,0,0,0,0,0,0
5440,5,0,0,0,0,0,0
5542,5,0,0,0,0,0,0
5570,5,0,0,0,0,0,0
5696,5,441.5020117015856,400.4042418025916,876.8953463842491,619.549051670477,740.0316254804653,75.26670277222833
5745,5,66.7094083113527,95.96728803574456,111.00996703629396,33.06222296624917,52.605413914004714,66.27495267481888
5810,5,0,0,0,0,0,0
5890,5,0,0,0,0,0,0
5897,5,0,0,0,0,0,0
5938,5,0,0,0,0,0,0
5957,5,0,0,0,0,0,0
6097,5,0,0,0,0,0,0
6135,5,12.064657136273752,8.622876795879765,89.10105092836136,0,0,0
6142,5,24.937299207098626,51.89489172559878,24.26727986150222,29.991806727912557,21.01551204408877,6.937322502887192
6164,5,0,0,0,0,0,0
6191,5,0,0,0,0,0,0
6192,5,0,0,0,0,0,0
6221,5,58.494590119290464,51.4922889087092,26.938970160531547,24.001672526943267,52.69639594269664,6.993941591626506
6265,5,412.28788291895006,359.6021094675405,303.29914091788316,451.9138964935103,654.1851377556743,168.43580365388576
6296,5,15.397642905280993,20.20429624520515,74.26866275039173,7.154748621558548,17.60463524474361,0
6326,5,0,0,0,0,0,0
6352,5,0,0,0,0,0,0
6417,5,0,0,0,0,0,0
6431,5,474.8444851813848,398.7257015456082,968.0292978805719,649.4562214347304,744.2131334377137,83.62684177058414
6497,5,0,0,0,0,0,0
6535,5,139.79702837881246,84.44563093821091,87.23972450208043,180.31618584264115,177.1358542700615,65.57254390767545
6581,5,0,0,0,0,0,0
6618,5,0,0,0,0,0,0
6787,5,0,0,0,0,0,0
6875,5,0,0,0,0,0,0
7119,5,0,0,0,0,0,0
7172,5,0,0,0,0,0,0
7268,5,104.50834282060012,169.84386633360862,184.50566527723964,105.14697618688085,95.45060021417379,105.30314906084878
7296,5,115.90064492384207,95.46376618523578,16.839899122909323,14.772413530818532,103.25246268495394,0
7329,5,0,0,0,0,0,0
7341,5,0,0,0,0,0,0
7343,5,0,0,0,0,0,0
7357,5,0,0,0,0,0,0
7494,5,17.5460630322119,19.932133215549367,14.62294566616042,9.999491575392325,21.53163702000787,97.20514904809114
7502,5,57.87498722358733,50.09563390360068,104.21860334979138,68.22985093343296,76.15254821019509,11.000395302608222
7696,5,0,0,0,0,0,0
7728,5,0,0,0,0,0,0
7807,5,19.98650644680096,38.56094995324267,53.80100538454827,20.12476741953448,70.29717361154283,0
7868,5,0,0,0,0,0,0
7895,5,35.064011951533274,60.38110548126757,75.32468731227206,40.16974075268105,89.30972550119384,0
7913,5,51.49842252853572,65.8780888995567,358.421277947829,161.49036874456877,109.7838657413354,119.96399575569244
8056,5,0,0,0,0,0,0
8129,5,0,0,0,0,0,0
8192,5,0,9.126800015769572,0,0,15.386914191583632,9.202887968005482
8463,5,0,0,0,0,0,0
8534,5,0,0,0,0,0,0
8577,5,80.99519007628759,128.84499382299003,265.7752640949413,45.948424420294515,234.41019573252976,0
8704,5,0,0,0,0,0,0
8869,5,86.83316641736721,140.06876210278864,128.75277166359672,88.89622172036711,176.93896850902962,74.20900615441356
8944,5,0,0,0,0,0,0
9126,5,0,0,0,0,0,0
9208,5,0,0,0,0,0,0
9349,5,0,0,0,0,0,0
9600,5,47.312733512695914,66.3438890589229,104.99572881341973,24.357758078944364,124.7571940038383,0
9796,5,0,0,0,0,0,0
9798,5,146.39179436535267,167.35909521306976,109.73092420484878,132.43704288374596,244.74023578803673,611.1569324364082
9871,5,324.0442808475551,409.00545257105,481.3866614118338,345.68130637842296,564.0753220507543,250.42005588932778
9925,5,0,0,0,0,0,0
9972,5,83.31674374075263,55.56271070519179,228.13024734655588,99.919932814854,128.68593859888037,121.40459230440646
10002,5,37.010186326328494,40.025062332794846,122.62358583817871,21.422138663740085,136.29846032493748,0
10083,5,0,0,0,0,0,0
10166,5,0,0,0,0,0,0
10201,5,0,0,0,0,0,0
10228,5,0,0,0,0,0,0
10234,5,9.4884567440656,15.819236518705605,24.066174831699964,6.977049081628008,17.83311545323246,0
10305,5,398.4278312547647,523.8405082839109,2018.5619906938566,1106.7914828097082,1168.423023509903,930.8883010387848
10344,5,0,0,0,0,0,0
10395,5,0,0,0,0,0,0
10585,5,722.6161906553059,795.0690521004344,821.9754729812598,876.3037481127482,1380.3802760200415,458.8896653553718
11198,5,67.49436226819883,131.77337160957998,180.60855748791067,91.40650083062198,214.82729897098795,0
11469,5,0,0,0,0,0,0
