stream_order,year,n_groups,total_individuals,mean_individuals_per_group,sd_individuals_per_group,max_individuals_group
5,2015,271,18612.449275011633,68.6806246310392,198.34343934576313,1553.475478358545
5,2016,271,22917.038550500387,84.56471789852537,263.80027704391136,2393.207202464996
5,2017,271,34791.75157507928,128.38284714051395,378.63019414748265,2656.4494808884406
5,2018,271,20871.82641414406,77.017809646288,241.095897274259,2119.4379855594066
5,2019,271,29188.76494791492,107.7076197340034,317.95208596222295,2535.7720715346463
5,2021,271,15613.558587085945,57.614607332420505,203.95078212913944,1755.0906418213222
6,2015,71,46991.59093101982,661.85339339464565,880.6475574117012,4136.698116458094
6,2016,71,54137.518210649694,762.5002564880238,1051.6903682727786,5026.0969943814835
6,2017,71,85358.85375495796,1202.2373768303942,1663.6214775357864,8846.372449675413
6,2018,71,53910.60442769707,759.3042877140433,1043.8725342212754,4462.981622533107
6,2019,71,70694.8958705324,995.7027587398928,1351.7794264480408,7089.798641852086
6,2021,71,38984.44401091722,549.0766762101017,1009.0867436414893,4954.838182640044
7,2015,17,110976.20950517806,6528.012323834005,5660.0742260840625,19393.104098276
7,2016,17,131355.5607758118,7726.797692694812,6957.950685902448,25716.976955519815
7,2017,17,192731.59116730955,11337.152421606448,11009.865276005732,35019.55484995691
7,2018,17,119596.16982643575,7035.068813319751,6329.170583604372,20200.629856357653
7,2019,17,161669.2106540083,9509.953567882838,8446.296096189637,26176.991853856132
7,2021,17,102787.17095148397,6046.304173616706,6611.825935731418,19561.2583939097
