reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,assignment_individuals,GenLMU
902,3,0.708202205909,0,0,0,0,lower
978,3,0.712457288803,0,0,0,0,lower
1003,4,0.71245321383,8.74736262724628,8.178530659633125e-5,0.2410216698625311,10.565025906114071,lower
1030,4,0.71244935288,8.753493108761047,8.184262482259371e-5,0.24119058693556383,10.572430274582656,lower
1383,6,0.709780052343,15.19871725594145,1.4210360352231508e-4,0.4187799647616389,18.356943503012662,lower
925,3,0.708218218016,0,0,0,0,lower
927,4,0.708184113175,0,0,0,0,lower
935,3,0.712462813981,0,0,0,0,lower
947,9,0.714111216186,0,0,0,0,lower
950,3,0.708146882297,0,0,0,0,lower
951,3,0.708117892464,0,0,0,0,lower
959,9,0.714081268719,0,0,0,0,lower
961,3,0.712456972183,0,0,0,0,lower
971,3,0.708202874146,0,0,0,0,lower
976,3,0.708229190948,0,0,0,0,lower
979,3,0.707708163035,0,0,0,0,lower
984,3,0.708119120176,0,0,0,0,lower
992,3,0.712458727581,0,0,0,0,lower
994,3,0.70826036186,0,0,0,0,lower
996,3,0.712322372521,0,0,0,0,lower
1007,9,0.714127112253,2.9407839911274145,2.749547841983694e-5,0.08102929973873282,3.551865902274536,lower
1011,3,0.71245463186,0,0,0,0,lower
1013,4,0.708246553669,0,0,0,0,lower
1016,3,0.708257116372,0,0,0,0,lower
1017,9,0.714147709538,2.908537478327561,2.719398286644764e-5,0.08014079097403892,3.512918706687706,lower
1019,3,0.708088349265,0,0,0,0,lower
1021,9,0.714154992216,2.897212226375393,2.708809504143582e-5,0.07982873907297526,3.4992401174526795,lower
1023,3,0.70954529401,0,0,0,0,lower
1026,4,0.708096677344,0,0,0,0,lower
1027,4,0.708115780276,16.964753010070094,1.5861552623163615e-4,0.4674406759537412,20.489953678602756,lower
1031,4,0.712448502092,8.754486871279491,8.185191621426436e-5,0.24121796870900217,10.57363053655867,lower
1034,4,0.707874615148,16.987004561848593,1.5882357179485313e-4,0.4680537871731139,20.516829004459126,lower
1038,4,0.712445612132,8.758932870211387,8.189348501634414e-5,0.24134047215746274,10.579000394411336,lower
1048,3,0.705024016385,0,0,0,0,lower
1049,9,0.714083669777,3.0098499635063716,2.814122525429337e-5,0.0829323185917075,3.6352834783496175,lower
1055,4,0.712398677577,8.862088998882493,8.285796493676936e-5,0.2441827988619052,10.703591910531866,lower
1060,3,0.704651120552,0,0,0,0,lower
1062,3,0.712446357432,0,0,0,0,lower
1066,3,0.711875076698,0,0,0,0,lower
1069,3,0.711612235467,0,0,0,0,lower
1075,9,0.714174271037,0,0,0,0,lower
1076,4,0.707642941533,16.868277827991292,1.577135112264876e-4,0.4647824336382234,20.37343138023767,lower
1080,3,0.705023369898,0,0,0,0,lower
1082,4,0.707955937909,16.917582965929572,1.5817449998331546e-4,0.4661409695975847,20.43298190784469,lower
