reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,assignment_individuals,GenLMU
902,3,0.708202205909,0,0,0,0,lower
978,3,0.712457288803,0,0,0,0,lower
1003,4,0.71245321383,3.4654415270477186,8.884021010430476e-5,0.20798159024931387,7.892519845561383,lower
1030,4,0.71244935288,3.467199401172568,8.88852750420247e-5,0.20808709064604275,7.896523392095954,lower
1383,6,0.709780052343,5.4613731686795335,1.4000800070542392e-4,0.3277692229695679,12.438240778669508,lower
925,3,0.708218218016,0,0,0,0,lower
927,4,0.708184113175,0,0,0,0,lower
935,3,0.712462813981,0,0,0,0,lower
947,9,0.714111216186,0,0,0,0,lower
950,3,0.708146882297,0,0,0,0,lower
951,3,0.708117892464,0,0,0,0,lower
959,9,0.714081268719,0,0,0,0,lower
961,3,0.712456972183,0,0,0,0,lower
971,3,0.708202874146,0,0,0,0,lower
976,3,0.708229190948,0,0,0,0,lower
979,3,0.707708163035,0,0,0,0,lower
984,3,0.708119120176,0,0,0,0,lower
992,3,0.712458727581,0,0,0,0,lower
994,3,0.70826036186,0,0,0,0,lower
996,3,0.712322372521,0,0,0,0,lower
1007,9,0.714127112253,1.8524652407604398,4.748987969226607e-5,0.11117736763060067,4.218977166921071,lower
1011,3,0.71245463186,0,0,0,0,lower
1013,4,0.708246553669,0,0,0,0,lower
1016,3,0.708257116372,0,0,0,0,lower
1017,9,0.714147709538,1.8423311906227364,4.723008274102214e-5,0.11056916349647944,4.195896935671036,lower
1019,3,0.708088349265,0,0,0,0,lower
1021,9,0.714154992216,1.838761216950137,4.713856274027615e-5,0.11035490831549302,4.187766344564763,lower
1023,3,0.70954529401,0,0,0,0,lower
1026,4,0.708096677344,0,0,0,0,lower
1027,4,0.708115780276,6.115387700133083,1.567743457532657e-4,0.3670204933304186,13.92775448954725,lower
1031,4,0.712448502092,3.467465518038238,8.889209722559753e-5,0.20810306188909566,7.897129471473471,lower
1034,4,0.707874615148,6.137488055121258,1.5734091141746893e-4,0.36834686601327576,13.97808789987223,lower
1038,4,0.712445612132,3.4687321390704273,8.892456837761207e-5,0.20817907928960927,7.9000141923828675,lower
1048,3,0.705024016385,0,0,0,0,lower
1049,9,0.714083669777,1.874021529201176,4.804249764273412e-5,0.11247108767025073,4.268071469331678,lower
1055,4,0.712398677577,3.499764205221753,8.97201077786774e-5,0.2100414966515819,7.97068951500381,lower
1060,3,0.704651120552,0,0,0,0,lower
1062,3,0.712446357432,0,0,0,0,lower
1066,3,0.711875076698,0,0,0,0,lower
1069,3,0.711612235467,0,0,0,0,lower
1075,9,0.714174271037,0,0,0,0,lower
1076,4,0.707642941533,6.113558441530852,1.5672745079997076e-4,0.36691070873007264,13.923588365344003,lower
1080,3,0.705023369898,0,0,0,0,lower
1082,4,0.707955937909,6.110979202207635,1.5666132930820833e-4,0.3667559133621839,13.917714165076575,lower
