Date,dailyCatch,dailyCPUE,cumCPUE,year,DOY,dailyPROP,otoCATCH,otoPROP,oto_cumPROP,COratio
6/4/21,,0.458,,2021,155,0.015359335,5,0.019685039,0.019685039,0.7802542
6/5/21,,1.292,,2021,156,0.043328079,13,0.051181102,0.070866142,0.846564013
6/6/21,,3.125,,2021,157,0.104798954,17,0.066929134,0.137795276,1.565819661
6/7/21,,1.458,,2021,158,0.048895,7,0.027559055,0.165354331,1.774189994
6/8/21,,0.458,,2021,159,0.015359335,3,0.011811024,0.177165354,1.300423667
6/9/21,,0.625,,2021,160,0.020959791,4,0.015748031,0.192913386,1.330946712
6/10/21,,0.667,,2021,161,0.022368289,4,0.015748031,0.208661417,1.420386331
6/11/21,,1.167,,2021,162,0.039136121,6,0.023622047,0.232283465,1.656762467
6/12/21,,0.833,,2021,163,0.027935209,5,0.019685039,0.251968504,1.419108622
6/13/21,,0.458,,2021,164,0.015359335,7,0.027559055,0.279527559,0.557324429
6/14/21,,0.583,,2021,165,0.019551293,1,0.003937008,0.283464567,4.966028371
6/15/21,,0.944,,2021,166,0.031657668,15,0.059055118,0.342519685,0.536069844
6/16/21,,0.292,,2021,167,0.009792414,7,0.027559055,0.37007874,0.355324745
6/17/21,,0.083,,2021,168,0.00278346,2,0.007874016,0.377952756,0.353499447
6/18/21,,0.708,,2021,169,0.023743251,10,0.039370079,0.417322835,0.603078574
6/19/21,,0.208,,2021,170,0.006975418,0,0,0.417322835,Inf
6/20/21,,0.125,,2021,171,0.004191958,0,0,0.417322835,Inf
6/21/21,,1.292,,2021,172,0.043328079,11,0.043307087,0.460629921,1.000484743
6/22/21,,0.417,,2021,173,0.013984372,5,0.019685039,0.480314961,0.710406117
6/23/21,,0.417,,2021,174,0.013984372,6,0.023622047,0.503937008,0.592005097
6/24/21,,1.917,,2021,175,0.06428787,15,0.059055118,0.562992126,1.088607935
6/25/21,,0.833,,2021,176,0.027935209,4,0.015748031,0.578740157,1.773885778
6/26/21,,0.958,,2021,177,0.032127167,6,0.023622047,0.602362205,1.36005008
6/27/21,,1.292,,2021,178,0.043328079,13,0.051181102,0.653543307,0.846564013
6/28/21,,1.625,,2021,179,0.054495456,19,0.07480315,0.728346457,0.7285182
6/29/21,,0.625,,2021,180,0.020959791,4,0.015748031,0.744094488,1.330946712
6/30/21,,2.125,,2021,181,0.071263289,13,0.051181102,0.795275591,1.392375022
7/1/21,,0.625,,2021,182,0.020959791,9,0.035433071,0.830708661,0.591531872
7/2/21,,0.25,,2021,183,0.008383916,5,0.019685039,0.850393701,0.425902948
7/3/21,,0.417,,2021,184,0.013984372,3,0.011811024,0.862204724,1.184010195
7/4/21,,0.958,,2021,185,0.032127167,8,0.031496063,0.893700787,1.02003756
7/5/21,,0.833,,2021,186,0.027935209,10,0.039370079,0.933070866,0.709554311
7/6/21,,0.167,,2021,187,0.005600456,2,0.007874016,0.940944882,0.711257923
7/7/21,,0.042,,2021,188,0.001408498,1,0.003937008,0.94488189,0.357758476
7/8/21,,0.667,,2021,189,0.022368289,7,0.027559055,0.972440945,0.811649332
7/9/21,,0.375,,2021,190,0.012575874,3,0.011811024,0.984251969,1.064757369
7/10/21,,0.375,,2021,191,0.012575874,3,0.011811024,0.996062992,1.064757369
7/11/21,,0.125,,2021,192,0.004191958,1,0.003937008,1,1.064757369
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
