Date,Sample Year,CPUE,Species
6/1/20,2020,1.71,Chinook
6/2/20,2020,0,Chinook
6/3/20,2020,0,Chinook
6/4/20,2020,1.36,Chinook
6/5/20,2020,0,Chinook
6/6/20,2020,10.86,Chinook
6/7/20,2020,8.68,Chinook
6/8/20,2020,7.07,Chinook
6/9/20,2020,10.09,Chinook
6/10/20,2020,16.85,Chinook
6/11/20,2020,7.12,Chinook
6/12/20,2020,8.16,Chinook
6/13/20,2020,1.46,Chinook
6/14/20,2020,9.93,Chinook
6/15/20,2020,9.53,Chinook
6/16/20,2020,11.6,Chinook
6/17/20,2020,11.39,Chinook
6/18/20,2020,18.31,Chinook
6/19/20,2020,1.3,Chinook
6/20/20,2020,18.54,Chinook
6/21/20,2020,21.7,Chinook
6/22/20,2020,6.44,Chinook
6/23/20,2020,14.83,Chinook
6/24/20,2020,6.01,Chinook
6/25/20,2020,27.33,Chinook
6/26/20,2020,32.15,Chinook
6/27/20,2020,11.61,Chinook
6/28/20,2020,8.29,Chinook
6/29/20,2020,15.22,Chinook
6/30/20,2020,13.2,Chinook
7/1/20,2020,8.25,Chinook
7/2/20,2020,11.14,Chinook
7/3/20,2020,18.47,Chinook
7/4/20,2020,13.41,Chinook
7/5/20,2020,8.15,Chinook
7/6/20,2020,13.52,Chinook
7/7/20,2020,5,Chinook
7/8/20,2020,17.92,Chinook
7/9/20,2020,7.89,Chinook
7/10/20,2020,5,Chinook
7/11/20,2020,14.43,Chinook
7/12/20,2020,11.53,Chinook
7/13/20,2020,2.55,Chinook
7/14/20,2020,8.87,Chinook
7/15/20,2020,5.05,Chinook
7/16/20,2020,6.85,Chinook
7/17/20,2020,5.58,Chinook
7/18/20,2020,1.74,Chinook
7/19/20,2020,1.67,Chinook
7/20/20,2020,0,Chinook
7/21/20,2020,0,Chinook
7/22/20,2020,0,Chinook
7/23/20,2020,1.78,Chinook
7/24/20,2020,0,Chinook
7/25/20,2020,0,Chinook
7/26/20,2020,0,Chinook
7/27/20,2020,1.78,Chinook
7/28/20,2020,0,Chinook
7/29/20,2020,2.11,Chinook
7/30/20,2020,0,Chinook
7/31/20,2020,0,Chinook
8/1/20,2020,3.92,Chinook
8/2/20,2020,0,Chinook
8/3/20,2020,0,Chinook
8/4/20,2020,0,Chinook
8/5/20,2020,0,Chinook
8/6/20,2020,0,Chinook
8/7/20,2020,0,Chinook
8/8/20,2020,0,Chinook
8/9/20,2020,0,Chinook
8/10/20,2020,0,Chinook
8/11/20,2020,0,Chinook
8/12/20,2020,0,Chinook
8/13/20,2020,0,Chinook
8/14/20,2020,0,Chinook
8/15/20,2020,0,Chinook
8/16/20,2020,0,Chinook
8/17/20,2020,0,Chinook
8/18/20,2020,0,Chinook
8/19/20,2020,0,Chinook
8/20/20,2020,0,Chinook
8/21/20,2020,0,Chinook
8/22/20,2020,0,Chinook
8/23/20,2020,0,Chinook
8/24/20,2020,0,Chinook
