Date,Year,dailyCPUE,cumCPUE,Species
2020-06-01,2020,1.71,1.71,Chinook
2020-06-02,2020,0,1.71,Chinook
2020-06-03,2020,0,1.71,Chinook
2020-06-04,2020,1.36,3.07,Chinook
2020-06-05,2020,0,3.07,Chinook
2020-06-06,2020,10.86,13.93,Chinook
2020-06-07,2020,8.68,22.61,Chinook
2020-06-08,2020,7.07,29.68,Chinook
2020-06-09,2020,10.09,39.77,Chinook
2020-06-10,2020,16.85,56.62,Chinook
2020-06-11,2020,7.12,63.74,Chinook
2020-06-12,2020,8.16,71.9,Chinook
2020-06-13,2020,1.46,73.36,Chinook
2020-06-14,2020,9.93,83.29,Chinook
2020-06-15,2020,9.53,92.82,Chinook
2020-06-16,2020,11.6,104.42,Chinook
2020-06-17,2020,11.39,115.81,Chinook
2020-06-18,2020,18.31,134.12,Chinook
2020-06-19,2020,1.3,135.42,Chinook
2020-06-20,2020,18.54,153.96,Chinook
2020-06-21,2020,21.7,175.66,Chinook
2020-06-22,2020,6.44,182.1,Chinook
2020-06-23,2020,14.83,196.93,Chinook
2020-06-24,2020,6.01,202.94,Chinook
2020-06-25,2020,27.33,230.27,Chinook
2020-06-26,2020,32.15,262.42,Chinook
2020-06-27,2020,11.61,274.03,Chinook
2020-06-28,2020,8.29,282.32,Chinook
2020-06-29,2020,15.22,297.54,Chinook
2020-06-30,2020,13.2,310.74,Chinook
2020-07-01,2020,8.25,318.99,Chinook
2020-07-02,2020,11.14,330.13,Chinook
2020-07-03,2020,18.47,348.6,Chinook
2020-07-04,2020,13.41,362.01,Chinook
2020-07-05,2020,8.15,370.16,Chinook
2020-07-06,2020,13.52,383.68,Chinook
2020-07-07,2020,5,388.68,Chinook
2020-07-08,2020,17.92,406.6,Chinook
2020-07-09,2020,7.89,414.49,Chinook
2020-07-10,2020,5,419.49,Chinook
2020-07-11,2020,14.43,433.92,Chinook
2020-07-12,2020,11.53,445.45,Chinook
2020-07-13,2020,2.55,448,Chinook
2020-07-14,2020,8.87,456.87,Chinook
2020-07-15,2020,5.05,461.92,Chinook
2020-07-16,2020,6.85,468.77,Chinook
2020-07-17,2020,5.58,474.35,Chinook
2020-07-18,2020,1.74,476.09,Chinook
2020-07-19,2020,1.67,477.76,Chinook
