Date,dailyCatch,dailyCPUE,cumCPUE,year
2015-05-28,4,0.17,0.17,2015
2015-05-29,1,0.04,0.21,2015
2015-05-30,5,0.21,0.42,2015
2015-05-31,5,0.21,0.63,2015
2015-06-01,6,0.5,1.13,2015
2015-06-02,10,0.42,1.55,2015
2015-06-03,6,0.25,1.8,2015
2015-06-04,8,0.33,2.13,2015
2015-06-05,21,0.88,3.01,2015
2015-06-06,37,1.03,4.04,2015
2015-06-07,26,0.54,4.58,2015
2015-06-08,39,0.81,5.39,2015
2015-06-09,17,0.35,5.74,2015
2015-06-10,19,0.53,6.27,2015
2015-06-11,52,1.08,7.35,2015
2015-06-12,30,0.63,7.98,2015
2015-06-13,34,0.94,8.92,2015
2015-06-14,20,0.83,9.75,2015
2015-06-15,18,0.75,10.5,2015
2015-06-16,11,0.46,10.96,2015
2015-06-17,33,1.38,12.34,2015
2015-06-18,37,1.54,13.88,2015
2015-06-19,20,0.83,14.71,2015
2015-06-20,17,0.71,15.42,2015
2015-06-21,13,0.54,15.96,2015
2015-06-22,7,0.29,16.25,2015
2015-06-23,14,0.58,16.83,2015
2015-06-24,15,0.63,17.46,2015
2015-06-25,78,3.25,20.71,2015
2015-06-26,95,3.96,24.67,2015
2015-06-27,44,1.83,26.5,2015
2015-06-28,57,2.38,28.88,2015
2015-06-29,21,0.88,29.76,2015
2015-06-30,27,1.13,30.89,2015
2015-07-01,64,2.67,33.56,2015
2015-07-02,51,2.13,35.69,2015
2015-07-03,37,1.54,37.23,2015
2015-07-04,23,0.96,38.19,2015
2015-07-05,10,0.42,38.61,2015
2015-07-06,4,0.17,38.78,2015
2015-07-07,2,0.08,38.86,2015
2015-07-08,11,0.46,39.32,2015
2015-07-09,8,0.33,39.65,2015
2015-07-10,3,0.13,39.78,2015
2015-07-11,3,0.13,39.91,2015
2015-07-12,1,0.04,39.95,2015
2015-07-13,1,0.04,39.99,2015
