"sampleYear","DOY","genetic_assignment","n","proportion"
2015,148,"Lower",0,0
2015,148,"Middle",0,0
2015,148,"Upper",1,1
2015,150,"Lower",0,0
2015,150,"Middle",1,1
2015,150,"Upper",0,0
2015,152,"Lower",0,0
2015,152,"Middle",1,0.25
2015,152,"Upper",3,0.75
2015,155,"Lower",0,0
2015,155,"Middle",1,0.5
2015,155,"Upper",1,0.5
2015,156,"Lower",1,0.2
2015,156,"Middle",2,0.4
2015,156,"Upper",2,0.4
2015,157,"Lower",1,0.25
2015,157,"Middle",1,0.25
2015,157,"Upper",2,0.5
2015,158,"Lower",0,0
2015,158,"Middle",0,0
2015,158,"Upper",1,1
2015,159,"Lower",1,0.166666666666667
2015,159,"Middle",3,0.5
2015,159,"Upper",2,0.333333333333333
2015,160,"Lower",0,0
2015,160,"Middle",1,0.5
2015,160,"Upper",1,0.5
2015,161,"Lower",0,0
2015,161,"Middle",1,0.333333333333333
2015,161,"Upper",2,0.666666666666667
2015,162,"Lower",1,0.0666666666666667
2015,162,"Middle",6,0.4
2015,162,"Upper",8,0.533333333333333
2015,163,"Lower",0,0
2015,163,"Middle",3,0.6
2015,163,"Upper",2,0.4
2015,164,"Lower",2,0.333333333333333
2015,164,"Middle",2,0.333333333333333
2015,164,"Upper",2,0.333333333333333
2015,165,"Lower",0,0
2015,165,"Middle",1,0.2
2015,165,"Upper",4,0.8
2015,166,"Lower",3,0.5
2015,166,"Middle",2,0.333333333333333
2015,166,"Upper",1,0.166666666666667
2015,167,"Lower",0,0
2015,167,"Middle",2,1
2015,167,"Upper",0,0
2015,168,"Lower",1,0.2
2015,168,"Middle",2,0.4
2015,168,"Upper",2,0.4
2015,169,"Lower",0,0
2015,169,"Middle",3,0.375
2015,169,"Upper",5,0.625
2015,170,"Lower",2,0.4
2015,170,"Middle",2,0.4
2015,170,"Upper",1,0.2
2015,171,"Lower",0,0
2015,171,"Middle",3,0.75
2015,171,"Upper",1,0.25
2015,172,"Lower",1,0.2
2015,172,"Middle",1,0.2
2015,172,"Upper",3,0.6
2015,173,"Lower",0,0
2015,173,"Middle",0,0
2015,173,"Upper",2,1
2015,174,"Lower",1,0.5
2015,174,"Middle",0,0
2015,174,"Upper",1,0.5
2015,175,"Lower",5,1
2015,175,"Middle",0,0
2015,175,"Upper",0,0
2015,176,"Lower",9,0.692307692307692
2015,176,"Middle",2,0.153846153846154
2015,176,"Upper",2,0.153846153846154
2015,177,"Lower",11,0.733333333333333
2015,177,"Middle",3,0.2
2015,177,"Upper",1,0.0666666666666667
2015,178,"Lower",9,0.75
2015,178,"Middle",1,0.0833333333333333
2015,178,"Upper",2,0.166666666666667
2015,179,"Lower",11,0.785714285714286
2015,179,"Middle",0,0
2015,179,"Upper",3,0.214285714285714
2015,180,"Lower",3,0.75
2015,180,"Middle",0,0
2015,180,"Upper",1,0.25
2015,181,"Lower",1,0.2
2015,181,"Middle",0,0
2015,181,"Upper",4,0.8
2015,182,"Lower",9,0.9
2015,182,"Middle",0,0
2015,182,"Upper",1,0.1
2015,183,"Lower",14,0.875
2015,183,"Middle",0,0
2015,183,"Upper",2,0.125
2015,184,"Lower",8,0.8
2015,184,"Middle",0,0
2015,184,"Upper",2,0.2
2015,185,"Lower",4,1
2015,185,"Middle",0,0
2015,185,"Upper",0,0
2015,187,"Lower",1,1
2015,187,"Middle",0,0
2015,187,"Upper",0,0
2015,189,"Lower",2,0.666666666666667
2015,189,"Middle",0,0
2015,189,"Upper",1,0.333333333333333
2015,190,"Lower",2,1
2015,190,"Middle",0,0
2015,190,"Upper",0,0
2015,191,"Lower",1,1
2015,191,"Middle",0,0
2015,191,"Upper",0,0
2016,155,"Lower",0,0
2016,155,"Middle",1,1
2016,155,"Upper",0,0
2016,156,"Lower",0,0
2016,156,"Middle",0,0
2016,156,"Upper",2,1
2016,158,"Lower",1,0.5
2016,158,"Middle",0,0
2016,158,"Upper",1,0.5
2016,159,"Lower",0,0
2016,159,"Middle",1,0.25
2016,159,"Upper",3,0.75
2016,160,"Lower",0,0
2016,160,"Middle",0,0
2016,160,"Upper",1,1
2016,161,"Lower",0,0
2016,161,"Middle",1,0.125
2016,161,"Upper",7,0.875
2016,162,"Lower",1,0.166666666666667
2016,162,"Middle",1,0.166666666666667
2016,162,"Upper",4,0.666666666666667
2016,163,"Lower",1,0.111111111111111
2016,163,"Middle",4,0.444444444444444
2016,163,"Upper",4,0.444444444444444
2016,164,"Lower",0,0
2016,164,"Middle",2,0.4
2016,164,"Upper",3,0.6
2016,165,"Lower",0,0
2016,165,"Middle",3,0.3
2016,165,"Upper",7,0.7
2016,166,"Lower",3,0.5
2016,166,"Middle",1,0.166666666666667
2016,166,"Upper",2,0.333333333333333
2016,167,"Lower",0,0
2016,167,"Middle",0,0
2016,167,"Upper",1,1
2016,168,"Lower",1,0.166666666666667
2016,168,"Middle",2,0.333333333333333
2016,168,"Upper",3,0.5
2016,169,"Lower",1,0.333333333333333
2016,169,"Middle",2,0.666666666666667
2016,169,"Upper",0,0
2016,170,"Lower",1,0.333333333333333
2016,170,"Middle",0,0
2016,170,"Upper",2,0.666666666666667
2016,171,"Lower",0,0
2016,171,"Middle",1,0.2
2016,171,"Upper",4,0.8
2016,172,"Lower",4,0.571428571428571
2016,172,"Middle",1,0.142857142857143
2016,172,"Upper",2,0.285714285714286
2016,173,"Lower",0,0
2016,173,"Middle",0,0
2016,173,"Upper",5,1
2016,174,"Lower",1,0.2
2016,174,"Middle",1,0.2
2016,174,"Upper",3,0.6
2016,175,"Lower",0,0
2016,175,"Middle",1,0.25
2016,175,"Upper",3,0.75
2016,176,"Lower",1,0.5
2016,176,"Middle",0,0
2016,176,"Upper",1,0.5
2016,177,"Lower",2,0.5
2016,177,"Middle",1,0.25
2016,177,"Upper",1,0.25
2016,178,"Lower",1,0.5
2016,178,"Middle",0,0
2016,178,"Upper",1,0.5
2016,179,"Lower",0,0
2016,179,"Middle",0,0
2016,179,"Upper",1,1
2016,181,"Lower",2,1
2016,181,"Middle",0,0
2016,181,"Upper",0,0
2016,NA,"Lower",0,0
2016,NA,"Middle",1,0.111111111111111
2016,NA,"Upper",8,0.888888888888889
2017,155,"Lower",0,0
2017,155,"Middle",0,0
2017,155,"Upper",1,1
2017,156,"Lower",0,0
2017,156,"Middle",0,0
2017,156,"Upper",1,1
2017,157,"Lower",0,0
2017,157,"Middle",2,0.5
2017,157,"Upper",2,0.5
2017,158,"Lower",0,0
2017,158,"Middle",1,0.5
2017,158,"Upper",1,0.5
2017,159,"Lower",0,0
2017,159,"Middle",0,0
2017,159,"Upper",3,1
2017,160,"Lower",0,0
2017,160,"Middle",0,0
2017,160,"Upper",1,1
2017,161,"Lower",1,0.333333333333333
2017,161,"Middle",1,0.333333333333333
2017,161,"Upper",1,0.333333333333333
2017,162,"Lower",0,0
2017,162,"Middle",4,0.8
2017,162,"Upper",1,0.2
2017,163,"Lower",0,0
2017,163,"Middle",3,0.428571428571429
2017,163,"Upper",4,0.571428571428571
2017,164,"Lower",5,0.227272727272727
2017,164,"Middle",11,0.5
2017,164,"Upper",6,0.272727272727273
2017,165,"Lower",5,0.357142857142857
2017,165,"Middle",3,0.214285714285714
2017,165,"Upper",6,0.428571428571429
2017,166,"Lower",2,0.2
2017,166,"Middle",3,0.3
2017,166,"Upper",5,0.5
2017,167,"Lower",2,0.0869565217391304
2017,167,"Middle",6,0.260869565217391
2017,167,"Upper",15,0.652173913043478
2017,168,"Lower",2,0.0909090909090909
2017,168,"Middle",5,0.227272727272727
2017,168,"Upper",15,0.681818181818182
2017,169,"Lower",4,0.148148148148148
2017,169,"Middle",8,0.296296296296296
2017,169,"Upper",15,0.555555555555556
2017,170,"Lower",8,0.25
2017,170,"Middle",11,0.34375
2017,170,"Upper",13,0.40625
2017,171,"Lower",8,0.275862068965517
2017,171,"Middle",11,0.379310344827586
2017,171,"Upper",10,0.344827586206897
2017,172,"Lower",2,0.111111111111111
2017,172,"Middle",5,0.277777777777778
2017,172,"Upper",11,0.611111111111111
2017,173,"Lower",3,0.5
2017,173,"Middle",2,0.333333333333333
2017,173,"Upper",1,0.166666666666667
2018,160,"Lower",0,0
2018,160,"Middle",1,0.5
2018,160,"Upper",1,0.5
2018,161,"Lower",0,0
2018,161,"Middle",3,0.5
2018,161,"Upper",3,0.5
2018,162,"Lower",0,0
2018,162,"Middle",2,0.4
2018,162,"Upper",3,0.6
2018,163,"Lower",0,0
2018,163,"Middle",7,0.4375
2018,163,"Upper",9,0.5625
2018,164,"Lower",0,0
2018,164,"Middle",5,0.555555555555556
2018,164,"Upper",4,0.444444444444444
2018,165,"Lower",0,0
2018,165,"Middle",1,0.5
2018,165,"Upper",1,0.5
2018,166,"Lower",1,0.2
2018,166,"Middle",1,0.2
2018,166,"Upper",3,0.6
2018,167,"Lower",0,0
2018,167,"Middle",6,0.6
2018,167,"Upper",4,0.4
2018,168,"Lower",5,0.172413793103448
2018,168,"Middle",11,0.379310344827586
2018,168,"Upper",13,0.448275862068966
2018,169,"Lower",7,0.318181818181818
2018,169,"Middle",8,0.363636363636364
2018,169,"Upper",7,0.318181818181818
2018,170,"Lower",4,0.166666666666667
2018,170,"Middle",6,0.25
2018,170,"Upper",14,0.583333333333333
2018,171,"Lower",1,0.111111111111111
2018,171,"Middle",2,0.222222222222222
2018,171,"Upper",6,0.666666666666667
2018,172,"Lower",3,0.1
2018,172,"Middle",5,0.166666666666667
2018,172,"Upper",22,0.733333333333333
2018,173,"Lower",6,0.352941176470588
2018,173,"Middle",1,0.0588235294117647
2018,173,"Upper",10,0.588235294117647
2018,174,"Lower",2,0.1
2018,174,"Middle",4,0.2
2018,174,"Upper",14,0.7
2018,175,"Lower",10,0.588235294117647
2018,175,"Middle",3,0.176470588235294
2018,175,"Upper",4,0.235294117647059
2018,176,"Lower",2,0.4
2018,176,"Middle",0,0
2018,176,"Upper",3,0.6
2018,177,"Lower",2,0.111111111111111
2018,177,"Middle",4,0.222222222222222
2018,177,"Upper",12,0.666666666666667
2018,178,"Lower",13,0.65
2018,178,"Middle",1,0.05
2018,178,"Upper",6,0.3
2018,179,"Lower",2,0.153846153846154
2018,179,"Middle",4,0.307692307692308
2018,179,"Upper",7,0.538461538461538
2018,180,"Lower",0,0
2018,180,"Middle",0,0
2018,180,"Upper",3,1
2018,181,"Lower",2,0.285714285714286
2018,181,"Middle",2,0.285714285714286
2018,181,"Upper",3,0.428571428571429
2019,154,"Lower",0,0
2019,154,"Middle",1,0.25
2019,154,"Upper",3,0.75
2019,155,"Lower",1,0.333333333333333
2019,155,"Middle",1,0.333333333333333
2019,155,"Upper",1,0.333333333333333
2019,156,"Lower",0,0
2019,156,"Middle",0,0
2019,156,"Upper",1,1
2019,157,"Lower",0,0
2019,157,"Middle",3,0.5
2019,157,"Upper",3,0.5
2019,158,"Lower",3,0.3
2019,158,"Middle",4,0.4
2019,158,"Upper",3,0.3
2019,159,"Lower",0,0
2019,159,"Middle",0,0
2019,159,"Upper",1,1
2019,160,"Lower",0,0
2019,160,"Middle",1,0.5
2019,160,"Upper",1,0.5
2019,161,"Lower",0,0
2019,161,"Middle",0,0
2019,161,"Upper",3,1
2019,162,"Lower",1,0.166666666666667
2019,162,"Middle",2,0.333333333333333
2019,162,"Upper",3,0.5
2019,163,"Lower",0,0
2019,163,"Middle",2,0.285714285714286
2019,163,"Upper",5,0.714285714285714
2019,164,"Lower",1,0.166666666666667
2019,164,"Middle",1,0.166666666666667
2019,164,"Upper",4,0.666666666666667
2019,165,"Lower",1,0.111111111111111
2019,165,"Middle",5,0.555555555555556
2019,165,"Upper",3,0.333333333333333
2019,166,"Lower",1,0.0769230769230769
2019,166,"Middle",4,0.307692307692308
2019,166,"Upper",8,0.615384615384615
2019,167,"Lower",2,0.0714285714285714
2019,167,"Middle",7,0.25
2019,167,"Upper",19,0.678571428571429
2019,168,"Lower",1,0.04
2019,168,"Middle",8,0.32
2019,168,"Upper",16,0.64
2019,169,"Lower",8,0.242424242424242
2019,169,"Middle",7,0.212121212121212
2019,169,"Upper",18,0.545454545454545
2019,170,"Lower",13,0.342105263157895
2019,170,"Middle",10,0.263157894736842
2019,170,"Upper",15,0.394736842105263
2019,171,"Lower",1,0.0476190476190476
2019,171,"Middle",4,0.19047619047619
2019,171,"Upper",16,0.761904761904762
2019,172,"Lower",1,0.2
2019,172,"Middle",1,0.2
2019,172,"Upper",3,0.6
2019,173,"Lower",4,0.222222222222222
2019,173,"Middle",5,0.277777777777778
2019,173,"Upper",9,0.5
2019,174,"Lower",3,0.375
2019,174,"Middle",1,0.125
2019,174,"Upper",4,0.5
2019,175,"Lower",3,0.333333333333333
2019,175,"Middle",3,0.333333333333333
2019,175,"Upper",3,0.333333333333333
2019,176,"Lower",2,0.666666666666667
2019,176,"Middle",0,0
2019,176,"Upper",1,0.333333333333333
2019,177,"Lower",3,0.375
2019,177,"Middle",1,0.125
2019,177,"Upper",4,0.5
2019,178,"Lower",11,0.523809523809524
2019,178,"Middle",3,0.142857142857143
2019,178,"Upper",7,0.333333333333333
2019,179,"Lower",1,0.25
2019,179,"Middle",1,0.25
2019,179,"Upper",2,0.5
2020,158,"Lower",0,0
2020,158,"Middle",1,1
2020,158,"Upper",0,0
2020,159,"Lower",0,0
2020,159,"Middle",0,0
2020,159,"Upper",2,1
2020,160,"Lower",0,0
2020,160,"Middle",0,0
2020,160,"Upper",2,1
2020,161,"Lower",2,0.4
2020,161,"Middle",0,0
2020,161,"Upper",3,0.6
2020,162,"Lower",1,0.333333333333333
2020,162,"Middle",1,0.333333333333333
2020,162,"Upper",1,0.333333333333333
2020,163,"Lower",1,0.2
2020,163,"Middle",1,0.2
2020,163,"Upper",3,0.6
2020,164,"Lower",0,0
2020,164,"Middle",0,0
2020,164,"Upper",5,1
2020,165,"Lower",0,0
2020,165,"Middle",1,1
2020,165,"Upper",0,0
2020,166,"Lower",0,0
2020,166,"Middle",0,0
2020,166,"Upper",3,1
2020,167,"Lower",0,0
2020,167,"Middle",0,0
2020,167,"Upper",3,1
2020,168,"Lower",1,0.2
2020,168,"Middle",1,0.2
2020,168,"Upper",3,0.6
2020,169,"Lower",0,0
2020,169,"Middle",0,0
2020,169,"Upper",3,1
2020,170,"Lower",0,0
2020,170,"Middle",1,0.166666666666667
2020,170,"Upper",5,0.833333333333333
2020,171,"Lower",0,0
2020,171,"Middle",1,0.25
2020,171,"Upper",3,0.75
2020,172,"Lower",0,0
2020,172,"Middle",0,0
2020,172,"Upper",2,1
2020,173,"Lower",0,0
2020,173,"Middle",0,0
2020,173,"Upper",1,1
2020,174,"Lower",0,0
2020,174,"Middle",1,0.5
2020,174,"Upper",1,0.5
2020,175,"Lower",0,0
2020,175,"Middle",0,0
2020,175,"Upper",2,1
2020,177,"Lower",4,1
2020,177,"Middle",0,0
2020,177,"Upper",0,0
2020,178,"Lower",0,0
2020,178,"Middle",0,0
2020,178,"Upper",1,1
2020,179,"Lower",2,0.133333333333333
2020,179,"Middle",1,0.0666666666666667
2020,179,"Upper",12,0.8
2020,180,"Lower",1,0.2
2020,180,"Middle",0,0
2020,180,"Upper",4,0.8
2020,182,"Lower",2,0.666666666666667
2020,182,"Middle",0,0
2020,182,"Upper",1,0.333333333333333
2020,183,"Lower",2,0.5
2020,183,"Middle",0,0
2020,183,"Upper",2,0.5
2020,184,"Lower",2,0.285714285714286
2020,184,"Middle",0,0
2020,184,"Upper",5,0.714285714285714
2020,185,"Lower",1,0.5
2020,185,"Middle",0,0
2020,185,"Upper",1,0.5
2020,186,"Lower",0,0
2020,186,"Middle",0,0
2020,186,"Upper",2,1
2020,187,"Lower",1,1
2020,187,"Middle",0,0
2020,187,"Upper",0,0
2020,188,"Lower",4,0.8
2020,188,"Middle",0,0
2020,188,"Upper",1,0.2
2020,189,"Lower",4,0.8
2020,189,"Middle",0,0
2020,189,"Upper",1,0.2
2020,190,"Lower",2,0.666666666666667
2020,190,"Middle",0,0
2020,190,"Upper",1,0.333333333333333
2020,194,"Lower",1,1
2020,194,"Middle",0,0
2020,194,"Upper",0,0
2020,195,"Lower",1,1
2020,195,"Middle",0,0
2020,195,"Upper",0,0
2021,155,"Lower",1,0.166666666666667
2021,155,"Middle",2,0.333333333333333
2021,155,"Upper",3,0.5
2021,156,"Lower",0,0
2021,156,"Middle",6,0.461538461538462
2021,156,"Upper",7,0.538461538461538
2021,157,"Lower",1,0.0416666666666667
2021,157,"Middle",7,0.291666666666667
2021,157,"Upper",16,0.666666666666667
2021,158,"Lower",0,0
2021,158,"Middle",6,0.545454545454545
2021,158,"Upper",5,0.454545454545455
2021,159,"Lower",0,0
2021,159,"Middle",2,0.4
2021,159,"Upper",3,0.6
2021,160,"Lower",0,0
2021,160,"Middle",2,0.4
2021,160,"Upper",3,0.6
2021,161,"Lower",0,0
2021,161,"Middle",1,0.2
2021,161,"Upper",4,0.8
2021,162,"Lower",0,0
2021,162,"Middle",1,0.111111111111111
2021,162,"Upper",8,0.888888888888889
2021,163,"Lower",0,0
2021,163,"Middle",1,0.2
2021,163,"Upper",4,0.8
2021,164,"Lower",0,0
2021,164,"Middle",4,0.571428571428571
2021,164,"Upper",3,0.428571428571429
2021,165,"Lower",0,0
2021,165,"Middle",1,0.5
2021,165,"Upper",1,0.5
2021,166,"Lower",0,0
2021,166,"Middle",6,0.333333333333333
2021,166,"Upper",12,0.666666666666667
2021,167,"Lower",1,0.142857142857143
2021,167,"Middle",5,0.714285714285714
2021,167,"Upper",1,0.142857142857143
2021,168,"Lower",0,0
2021,168,"Middle",1,0.5
2021,168,"Upper",1,0.5
2021,169,"Lower",0,0
2021,169,"Middle",2,0.166666666666667
2021,169,"Upper",10,0.833333333333333
2021,170,"Lower",0,0
2021,170,"Middle",1,1
2021,170,"Upper",0,0
2021,171,"Lower",0,0
2021,171,"Middle",0,0
2021,171,"Upper",1,1
2021,172,"Lower",2,0.153846153846154
2021,172,"Middle",6,0.461538461538462
