fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date,capture_date_julian,file.id
2016_yk_001,NA,NA,0.723947457,NA,NA,1,2016-06-07,159,2016_yukon_chin_yk001
2016_yk_002,NA,NA,0.717533205,NA,NA,2,2016-06-07,159,2016_yukon_chin_yk002
2016_yk_003,NA,NA,0.706700974,NA,NA,3,2016-06-08,160,2016_yukon_chin_yk003
2016_yk_004,NA,NA,0.727189546,NA,NA,4,2016-06-09,161,2016_yukon_chin_yk004
2016_yk_005,NA,NA,0.71385533,NA,NA,5,2016-06-09,161,2016_yukon_chin_yk005
2016_yk_006,NA,NA,0.706416141,NA,NA,6,2016-06-09,161,2016_yukon_chin_yk006
2016_yk_007,NA,NA,0.710562852,NA,NA,7,2016-06-09,161,2016_yukon_chin_yk007
2016_yk_008,NA,NA,0.71360269,NA,NA,8,2016-06-09,161,2016_yukon_chin_yk008
2016_yk_009,NA,NA,0.714488793,NA,NA,9,2016-06-09,161,2016_yukon_chin_yk009
2016_yk_010_redo,NA,NA,0.706117104,NA,NA,10,2016-06-09,161,2016_yukon_chin_yk010_redo
2016_yk_011,NA,NA,0.713620742,NA,NA,11,2016-06-09,161,2016_yukon_chin_yk011
2016_yk_012,NA,NA,0.725646188,NA,NA,12,2016-06-10,162,2016_yukon_chin_yk012
2016_yk_013,NA,NA,0.722032708,NA,NA,13,2016-06-10,162,2016_yukon_chin_yk013
2016_yk_014_redo,NA,NA,0.713453394,NA,NA,14,2016-06-10,162,2016_yukon_chin_yk014_redo
2016_yk_015_redo,NA,NA,0.719498315,NA,NA,15,2016-06-10,162,2016_yukon_chin_yk015_redo
2016_yk_016_redo,NA,NA,0.707163733,NA,NA,16,2016-06-10,162,2016_yukon_chin_yk016_redo
2016_yk_017_redo,NA,NA,0.713566647,NA,NA,17,2016-06-10,162,2016_yukon_chin_yk017_redo
2016_yk_018,NA,NA,0.716204458,NA,NA,18,2016-06-11,163,2016_yukon_chin_yk018
2016_yk_019,NA,NA,0.713727603,NA,NA,19,2016-06-11,163,2016_yukon_chin_yk019
2016_yk_020,NA,NA,0.725087596,NA,NA,20,2016-06-12,164,2016_yukon_chin_yk020
2016_yk_021_redo,NA,NA,0.723686777,NA,NA,21,2016-06-12,164,2016_yukon_chin_yk021_redo
2016_yk_022,NA,NA,0.721704637,NA,NA,22,2016-06-12,164,2016_yukon_chin_yk022
2016_yk_023,NA,NA,0.71581579,NA,NA,23,2016-06-12,164,2016_yukon_chin_yk023
2016_yk_024,NA,NA,0.712452264,NA,NA,24,2016-06-13,165,2016_yukon_chin_yk024
2016_yk_025,NA,NA,0.711392402,NA,NA,25,2016-06-13,165,2016_yukon_chin_yk025
2016_yk_026,NA,NA,0.721321066,NA,NA,26,2016-06-13,165,2016_yukon_chin_yk026
2016_yk_027_redo,NA,NA,0.715256435,NA,NA,27,2016-06-13,165,2016_yukon_chin_yk027_redo
