fish.id,nat_start,nat_end,natal_iso_mean,natal_iso_sd,num_microns,otoNum,capture_date,capture_date_julian
2021_yk_001,399.711451,448.560712,0.7179634,0.002918339,48.84926095,1,0021-06-04,155
2021_yk_003,336.2706802,517.0820641,0.706909409,5.70E-04,180.8113839,3,0021-06-04,155
2021_yk_007,420.4525978,587.8194864,0.723626722,0.001348897,167.3668886,7,0021-06-04,155
2021_yk_008,368.0282454,481.0769901,0.718735467,0.001124376,113.0487447,8,0021-06-04,155
2021_yk_009_R1,725.1778234,850.2102381,0.716221772,0.001122954,125.0324147,9,0021-06-04,155
2021_yk_011,508.2892466,636.9473718,0.72208253,0.001148417,128.6581252,11,0021-06-05,156
2021_yk_015_R1,408.6793239,602.6656719,0.724159434,0.001521601,193.986348,15,0021-06-05,156
2021_yk_016,608.3280425,686.7563513,0.71772623,0.001287555,78.42830888,16,0021-06-05,156
2021_yk_017,528.9072341,665.0322321,0.714412901,0.001921952,136.124998,17,0021-06-05,156
2021_yk_018,965.8402894,1035.577908,0.720711263,0.001093562,69.73761903,18,0021-06-05,156
2021_yk_020,785.5815645,932.8653316,0.721242314,0.001414532,147.2837671,20,0021-06-05,156
2021_yk_023,607.6109491,674.6643133,0.720750468,9.35E-04,67.05336414,23,0021-06-05,156
2021_yk_024_R1,611.6512148,741.0399322,0.720634669,0.003192588,129.3887174,24,0021-06-05,156
2021_yk_025,773.4757205,995.0639877,0.710770827,0.001793092,221.5882673,25,0021-06-05,156
2021_yk_026,567.7017079,709.7083099,0.722133036,0.001140329,142.006602,26,0021-06-05,156
2021_yk_027,815.7430777,879.2333491,0.713624547,0.001488455,63.49027142,27,0021-06-05,156
2021_yk_028,733.6744885,918.4095675,0.716867674,0.002280751,184.735079,28,0021-06-05,156
2021_yk_029,705.6524272,986.2459906,0.710759101,0.003378526,280.5935634,29,0021-06-05,156
2021_yk_031,519.3435989,796.3273998,0.715502592,0.00156174,276.9838009,31,0021-06-06,157
2021_yk_033,590.7882516,785.4288774,0.727639235,0.001042398,194.6406259,33,0021-06-06,157
2021_yk_036,630.5912794,778.512339,0.718464123,0.001619228,147.9210596,36,0021-06-06,157
2021_yk_037,771.9036213,958.0945725,0.714305477,0.001345656,186.1909513,37,0021-06-06,157
2021_yk_038,823.2176421,949.9319254,0.718998983,0.001795223,126.7142833,38,0021-06-06,157
2021_yk_039,684.9396888,853.8023139,0.715205507,0.002085958,168.8626251,39,0021-06-06,157
2021_yk_040,633.8059734,782.1492898,0.716782487,0.002305679,148.3433165,40,0021-06-06,157
2021_yk_043,530.1034712,639.9536869,0.716339632,0.002041472,109.8502157,43,0021-06-06,157
2021_yk_046,430.5745199,522.8299618,0.71849856,0.001897598,92.25544191,46,0021-06-06,157
2021_yk_048,680.4137132,875.5196008,0.715786423,0.002046085,195.1058876,48,0021-06-06,157
2021_yk_049,413.0897345,599.889525,0.721791828,0.001355421,186.7997905,49,0021-06-06,157
2021_yk_050,628.433634,784.0010696,0.724686788,0.001566899,155.5674356,50,0021-06-06,157
2021_yk_051,566.8293534,608.2554533,0.719898583,0.00163895,41.42609982,51,0021-06-06,157
2021_yk_055,523.1040122,660.5699065,0.716687658,0.00115554,137.4658942,55,0021-06-06,157
2021_yk_056,633.3271249,784.0837344,0.71885855,0.001064559,150.7566095,56,0021-06-06,157
2021_yk_057,749.4018774,963.9774134,0.720173416,0.002420247,214.575536,57,0021-06-06,157
2021_yk_058,771.3163567,1115.196356,0.706312077,9.96E-04,343.8799992,58,0021-06-06,157
2021_yk_061,625.4546631,828.6091203,0.725411209,0.001733042,203.1544572,61,0021-06-07,158
2021_yk_062,693.4870527,864.8461534,0.73932047,0.001081434,171.3591007,62,0021-06-07,158
2021_yk_064,719.7034411,864.9937326,0.723644401,0.003443713,145.2902915,64,0021-06-07,158
2021_yk_070,821.4390638,1003.089045,0.718715447,0.001433775,181.6499813,70,0021-06-07,158
2021_yk_072,646.806429,893.0009075,0.722184198,0.002382674,246.1944785,72,0021-06-07,158
2021_yk_073,858.0133745,1084.420738,0.712309984,0.002917682,226.4073638,73,0021-06-07,158
2021_yk_076,1116.76016,1303.687625,0.734031827,0.002582515,186.9274656,76,0021-06-07,158
2021_yk_079,685.0128769,852.3126791,0.71779551,0.002568404,167.2998022,79,0021-06-08,159
2021_yk_080,432.2813008,612.6862105,0.725461798,0.001794645,180.4049097,80,0021-06-08,159
2021_yk_084,723.0366009,977.5789958,0.722789818,0.001184816,254.5423949,84,0021-06-08,159
2021_yk_087,721.3070341,944.2768827,0.717966438,0.001403461,222.9698486,87,0021-06-09,160
2021_yk_088,845.5425632,1144.558275,0.709924798,0.001580363,299.0157117,88,0021-06-09,160
2021_yk_089,608.8029988,841.7625686,0.714435067,0.001679646,232.9595699,89,0021-06-09,160
2021_yk_090,624.6370838,882.3072792,0.724038245,0.001900077,257.6701954,90,0021-06-09,160
2021_yk_092,667.6637165,899.0219214,0.712253529,0.002268859,231.358205,92,0021-06-10,161
2021_yk_093,683.4132934,942.0412686,0.721120354,0.00208041,258.6279752,93,0021-06-10,161
2021_yk_095,1051.04056,1271.698578,0.726948658,0.00216327,220.6580174,95,0021-06-10,161
2021_yk_096_R1,1338.784665,1393.825553,0.712714577,0.001896976,55.0408875,96,0021-06-10,161
2021_yk_098,558.6164757,701.8420557,0.715474229,0.003173662,143.22558,98,0021-06-11,162
2021_yk_101,759.1656101,859.8062336,0.72562246,0.001230915,100.6406235,101,0021-06-11,162
2021_yk_102,703.2147839,827.9045448,0.716186128,0.002179132,124.6897609,102,0021-06-11,162
2021_yk_103,496.179918,885.9959232,0.706530969,0.001007454,389.8160052,103,0021-06-11,162
2021_yk_104,739.5783664,938.1981576,0.715321597,0.001921598,198.6197912,104,0021-06-11,162
2021_yk_105,491.8996765,632.7772829,0.715881312,0.001675531,140.8776065,105,0021-06-11,162
2021_yk_110,610.8560137,845.2562317,0.706444387,7.96E-04,234.400218,110,0021-06-12,163
2021_yk_112,715.0307355,843.1555151,0.731004465,0.001807616,128.1247796,112,0021-06-12,163
2021_yk_115,906.6797979,1173.389869,0.717535851,0.002144099,266.7100709,115,0021-06-12,163
2021_yk_117,669.4730282,940.1555615,0.715397687,0.003945622,270.6825333,117,0021-06-12,163
2021_yk_118_R1,1057.325908,1304.344387,0.712099132,0.002072344,247.0184788,118,0021-06-12,163
2021_yk_120,387.4585401,634.2204432,0.723585144,0.001837072,246.7619031,120,0021-06-13,164
2021_yk_122,562.2071526,700.054328,0.713315829,0.002582484,137.8471754,122,0021-06-13,164
2021_yk_124,511.7021943,687.149406,0.711551953,0.003922609,175.4472117,124,0021-06-13,164
2021_yk_124a,438.112819,599.6886446,0.710711845,0.003322497,161.5758256,124,0021-06-13,164
2021_yk_126_R1,510.815223,751.7662165,0.714692931,0.002220351,240.9509935,126,0021-06-13,164
2021_yk_127,487.6769393,762.2985115,0.722940914,0.002330583,274.6215722,127,0021-06-13,164
2021_yk_128,635.2016488,839.1983854,0.716075997,0.002125533,203.9967367,128,0021-06-13,164
2021_yk_131,568.2947402,761.4062573,0.71802099,0.001904142,193.1115171,131,0021-06-14,165
2021_yk_132,902.57621,1155.668991,0.721716325,0.002179689,253.092781,132,0021-06-15,166
2021_yk_133_R1,822.3986083,945.9499463,0.708835993,0.003079312,123.551338,133,0021-06-15,166
2021_yk_134,644.0117237,733.8453115,0.720851614,0.001627729,89.83358784,134,0021-06-15,166
2021_yk_135,696.2649426,872.0575895,0.74075127,0.002572734,175.7926469,135,0021-06-15,166
2021_yk_136,670.4156867,883.1627899,0.718969432,0.00244011,212.7471032,136,0021-06-15,166
2021_yk_138,458.8397452,605.4325507,0.719240525,0.001249511,146.5928054,138,0021-06-15,166
2021_yk_139,607.1777842,1050.161849,0.709472149,0.004166607,442.9840644,139,0021-06-15,166
2021_yk_140,480.3669998,665.8176692,0.718440673,0.002157655,185.4506694,140,0021-06-15,166
