"","natal_iso","UY_gen","MY_gen","LY_gen","max_gen"
"1",0.707373052,0.0117,0.9766,0.0117,"MY"
"2",0.724117883,1,0,0,"UY"
"3",0.715612094,0.2,0.2,0.2,"Equal"
"4",0.714470421,1,0,0,"UY"
"5",0.710039213,1,0,0,"UY"
"6",0.714003221,0,0,1,"LY"
"7",0.715732162,0.2,0.2,0.2,"Equal"
"8",0.706830252,1,0,0,"UY"
"9",0.715889086,1,0,0,"UY"
"10",0.724439729,1,0,0,"UY"
"11",0.709910309,0.00314999999999999,0.9937,0.00314999999999999,"MY"
"12",0.720292556,1,0,0,"UY"
"13",0.711238156,0.06855,0.8629,0.06855,"MY"
"14",0.716662934,1,0,0,"UY"
"15",0.716379388,1,0,0,"UY"
"16",0.709347039,1,0,0,"UY"
"17",0.712461613,1,0,0,"UY"
"18",0.710172869,0,1,0,"MY"
"19",0.718747441,1,0,0,"UY"
"20",0.735038423,1,0,0,"UY"
"21",0.709547521,4.99999999999945e-05,0.9999,4.99999999999945e-05,"MY"
"22",0.716907799,1,0,0,"UY"
"23",0.711813474,0.333333333333333,0.333333333333333,0.333333333333333,"Equal"
"24",0.715449827,1,0,0,"UY"
"25",0.714795185,0,0,1,"LY"
"26",0.724604569,0,0,1,"LY"
"27",0.711571297,0.00619999999999998,0.9876,0.00619999999999998,"MY"
"28",0.716259184,1,0,0,"UY"
"29",0.716650749,1,0,0,"UY"
"30",0.72261898,1,0,0,"UY"
"31",0.722688354,1,0,0,"UY"
"32",0.715053065,0.00180000000000002,0.9964,0.00180000000000002,"MY"
"33",0.712343031,0.333333333333333,0.333333333333333,0.333333333333333,"Equal"
"34",0.715999341,1,0,0,"UY"
"35",0.711200293,1,0,0,"UY"
"36",0.725932062,0.09625,0.8075,0.09625,"MY"
"37",0.725389401,0.00245000000000001,0.9951,0.00245000000000001,"MY"
"38",0.714559426,0.00180000000000002,0.9964,0.00180000000000002,"MY"
"39",0.713946302,1,0,0,"UY"
"40",0.726314917,0.2244,0.2244,0.5512,"LY"
"41",0.715285155,1,0,0,"UY"
"42",0.716369682,0,1,0,"MY"
"43",0.710382555,0,1,0,"MY"
"44",0.716053852,0,1,0,"MY"
"45",0.717409464,1,0,0,"UY"
"46",0.72073926,1,0,0,"UY"
"47",0.721536812,1,0,0,"UY"
"48",0.709821342,0.10525,0.7895,0.10525,"MY"
"49",0.713450593,1,0,0,"UY"
"50",0.705687584,1,0,0,"UY"
"51",0.714036985,1,0,0,"UY"
"52",0.716329288,1,0,0,"UY"
"53",0.707276196,1,0,0,"UY"
"54",0.708963139,1,0,0,"UY"
"55",0.713223544,1,0,0,"UY"
"56",0.709924417,0.2,0.2,0.2,"Equal"
"57",0.721164764,1,0,0,"UY"
"58",0.715631511,1,0,0,"UY"
"59",0.711149445,1,0,0,"UY"
"60",0.715890853,1,0,0,"UY"
"61",0.71225677,0,0,1,"LY"
"62",0.717369804,1,0,0,"UY"
"63",0.709552833,1,0,0,"UY"
"64",0.709844179,0.2,0.2,0.2,"Equal"
"65",0.706888974,0.17015,0.17015,0.6597,"LY"
"66",0.70784879,0,0,1,"LY"
"67",0.714474741,1,0,0,"UY"
"68",0.713345605,0.0202,0.9596,0.0202,"MY"
"69",0.707165458,0,1,0,"MY"
"70",0.722512663,0,1,0,"MY"
"71",0.721509847,1,0,0,"UY"
"72",0.723966017,1,0,0,"UY"
"73",0.714051757,0.0101,0.9798,0.0101,"MY"
"74",0.709895154,1,0,0,"UY"
"75",0.711513281,1,0,0,"UY"
"76",0.712616705,0.333333333333333,0.333333333333333,0.333333333333333,"Equal"
"77",0.709634032,0,0,1,"LY"
"78",0.714629764,0,0,1,"LY"
"79",0.705291071,1,0,0,"UY"
"80",0.715588228,1,0,0,"UY"
"81",0.709776118,0,0,1,"LY"
"82",0.718583874,0,0,1,"LY"
"83",0.718057146,0.2486,0.5028,0.2486,"MY"
"84",0.717155181,0.0161,0.9678,0.0161,"MY"
"85",0.734734517,4.99999999999945e-05,0.9999,4.99999999999945e-05,"MY"
"86",0.720304968,1,0,0,"UY"
"87",0.715362507,1,0,0,"UY"
"88",0.719120733,1,0,0,"UY"
"89",0.712432578,1,0,0,"UY"
"90",0.706946777,0.333333333333333,0.333333333333333,0.333333333333333,"Equal"
"91",0.717059037,1,0,0,"UY"
"92",0.712406659,1,0,0,"UY"
"93",0.717151332,1,0,0,"UY"
"94",0.713728634,0.2,0.2,0.2,"Equal"
"95",0.722999014,0.2,0.2,0.2,"Equal"
"96",0.718315563,0.2,0.2,0.2,"Equal"
"97",0.718333885,0.2,0.2,0.2,"Equal"
"98",0.711531378,0.2,0.2,0.2,"Equal"
"99",0.715475153,0.2,0.2,0.2,"Equal"
"100",0.714710797,0.2,0.2,0.2,"Equal"
"101",0.721703867,0.04505,0.9099,0.04505,"MY"
"102",0.706505306,1,0,0,"UY"
"103",0.715248102,1,0,0,"UY"
"104",0.707111042,0.000249999999999972,0.9995,0.000249999999999972,"MY"
"105",0.71888087,0.0378,0.9244,0.0378,"MY"
"106",0.711536638,0,0,1,"LY"
"107",0.721898746,1,0,0,"UY"
"108",0.71899718,0.003,0.994,0.003,"MY"
"109",0.705933802,0.000350000000000017,0.9993,0.000350000000000017,"MY"
"110",0.711047062,1,0,0,"UY"
"111",0.716264986,1,0,0,"UY"
"112",0.716659162,0.000400000000000011,0.000400000000000011,0.9992,"LY"
"113",0.722940235,1,0,0,"UY"
"114",0.715003069,0.2,0.2,0.2,"Equal"
"115",0.715795232,1,0,0,"UY"
"116",0.70694991,1,0,0,"UY"
"117",0.723495116,1,0,0,"UY"
"118",0.70628255,0.9999,4.99999999999945e-05,4.99999999999945e-05,"UY"
"119",0.71516075,0.2,0.2,0.2,"Equal"
"120",0.715823957,1,0,0,"UY"
"121",0.717358621,1,0,0,"UY"
"122",0.720153416,0,0,1,"LY"
"123",0.711271347,0.001,0.998,0.001,"MY"
"124",0.711652441,1,0,0,"UY"
"125",0.720957725,4.99999999999945e-05,0.9999,4.99999999999945e-05,"MY"
"126",0.719847046,1,0,0,"UY"
"127",0.716676861,0,0,1,"LY"
"128",0.712547854,1,0,0,"UY"
"129",0.707495338,0.000199999999999978,0.9996,0.000199999999999978,"MY"
"130",0.711057825,1,0,0,"UY"
"131",0.716951495,1,0,0,"UY"
"132",0.714641786,0.11495,0.7701,0.11495,"MY"
"133",0.707733058,1,0,0,"UY"
"134",0.714544162,1,0,0,"UY"
"135",0.707378627,0,0,1,"LY"
"136",0.715198726,1,0,0,"UY"
"137",0.72437218,1,0,0,"UY"
"138",0.722690504,1,0,0,"UY"
"139",0.710884636,1,0,0,"UY"
"140",0.722551586,1,0,0,"UY"
