FishID,natal_iso,natal_isose
2016_yukon_chin_yk001 ,0.723947457,8.75E-05
2016_yukon_chin_yk002 ,0.717533205,0.000109076
2016_yukon_chin_yk003 ,0.706700974,7.34E-05
2016_yukon_chin_yk004 ,0.727189546,9.13E-05
2016_yukon_chin_yk005 ,0.71385533,0.000128978
2016_yukon_chin_yk006 ,0.706416141,8.78E-05
2016_yukon_chin_yk007 ,0.710562852,0.000891173
2016_yukon_chin_yk008 ,0.71360269,0.000137673
2016_yukon_chin_yk009 ,0.714488793,8.18E-05
2016_yukon_chin_yk010_redo ,0.706117104,0.000144287
2016_yukon_chin_yk011 ,0.713620742,6.90E-05
2016_yukon_chin_yk012 ,0.725646188,5.23E-05
2016_yukon_chin_yk013 ,0.722032708,6.45E-05
2016_yukon_chin_yk014_redo ,0.713453394,0.000150153
2016_yukon_chin_yk015_redo ,0.719498315,0.000179732
2016_yukon_chin_yk016_redo ,0.707163733,8.67E-05
2016_yukon_chin_yk017_redo ,0.713566647,0.000224011
2016_yukon_chin_yk018 ,0.716204458,0.000119969
2016_yukon_chin_yk019 ,0.713727603,0.000121973
2016_yukon_chin_yk020 ,0.725087596,7.07E-05
2016_yukon_chin_yk021_redo ,0.723686777,0.000135328
2016_yukon_chin_yk022 ,0.721704637,6.65E-05
2016_yukon_chin_yk023 ,0.71581579,0.00011927
2016_yukon_chin_yk024 ,0.712452264,0.000128465
2016_yukon_chin_yk025 ,0.711392402,0.000103352
2016_yukon_chin_yk026 ,0.721321066,0.000122171
2016_yukon_chin_yk027_redo ,0.715256435,0.00027733
2016_yukon_chin_yk028_redo ,0.714523336,0.000176802
2016_yukon_chin_yk029 ,0.715804669,0.000166553
2016_yukon_chin_yk030_redo ,0.707753425,0.000134235
2016_yukon_chin_yk031_redo ,0.716696902,0.00014415
2016_yukon_chin_yk032 ,0.722682395,0.000104289
2016_yukon_chin_yk033 ,0.711740298,8.49E-05
2016_yukon_chin_yk034 ,0.71874558,9.94E-05
2016_yukon_chin_yk035_redo ,0.707086278,7.73E-05
2016_yukon_chin_yk036 ,0.712172076,9.58E-05
