"","basin_assign_rescale"
"1",5.04352138663215e-05
"2",1.68117379554405e-05
"3",4.20293448886012e-05
"4",5.18361920292748e-05
"5",6.86479299847153e-05
"6",4.34303230515546e-05
"7",5.18361920292748e-05
"8",4.34303230515546e-05
"9",6.44449954958552e-05
"10",6.30440173329018e-05
"11",5.74401046810883e-05
"12",6.02420610069951e-05
"13",4.62322793774613e-05
"14",4.62322793774613e-05
"15",6.16430391699485e-05
"16",6.16430391699485e-05
"17",4.62322793774613e-05
"18",5.32371701922282e-05
"19",5.18361920292748e-05
"20",6.86479299847153e-05
"21",6.16430391699485e-05
"22",5.6039126518135e-05
"23",6.44449954958552e-05
"24",5.32371701922282e-05
"25",5.74401046810883e-05
"26",5.74401046810883e-05
"27",5.88410828440417e-05
"28",4.90342357033681e-05
"29",5.74401046810883e-05
"30",1.40097816295337e-06
"31",6.16430391699485e-05
"32",7.14498863106221e-05
"33",5.6039126518135e-06
"34",5.04352138663215e-05
"35",5.88410828440417e-05
"36",4.62322793774613e-05
"37",5.32371701922282e-05
"38",5.6039126518135e-05
"39",5.88410828440417e-05
"40",4.20293448886012e-05
"41",5.18361920292748e-05
"42",5.6039126518135e-05
"43",6.16430391699485e-05
"44",4.62322793774613e-05
"45",2.10146724443006e-05
"46",4.62322793774613e-05
"47",4.62322793774613e-05
"48",1.40097816295337e-06
"49",6.44449954958552e-05
"50",7.14498863106221e-05
"51",7.84547771253889e-05
"52",2.38166287702074e-05
"53",6.16430391699485e-05
"54",4.76332575404147e-05
"55",4.62322793774613e-05
"56",1.54107597924871e-05
"57",4.34303230515546e-05
"58",4.76332575404147e-05
"59",6.02420610069951e-05
"60",6.16430391699485e-05
"61",4.06283667256478e-05
"62",4.4831301214508e-05
"63",4.34303230515546e-05
"64",5.88410828440417e-05
"65",6.16430391699485e-05
"66",5.18361920292748e-05
"67",4.34303230515546e-05
"68",4.34303230515546e-05
"69",4.4831301214508e-05
"70",6.58459736588086e-05
"71",4.4831301214508e-05
"72",7.56528207994822e-05
"73",5.74401046810883e-05
"74",7.84547771253889e-05
"75",5.46381483551816e-05
"76",7.28508644735755e-05
"77",3.50244540738343e-05
"78",7.14498863106221e-05
"79",5.46381483551816e-05
"80",5.74401046810883e-05
"81",5.6039126518135e-05
"82",5.88410828440417e-05
"83",6.44449954958552e-05
"84",5.88410828440417e-05
"85",5.6039126518135e-05
"86",6.44449954958552e-05
"87",5.88410828440417e-05
"88",3.78264103997411e-05
"89",5.6039126518135e-05
"90",6.86479299847153e-05
"91",6.02420610069951e-05
"92",5.46381483551816e-05
"93",5.46381483551816e-05
"94",4.76332575404147e-05
"95",5.6039126518135e-05
"96",5.6039126518135e-05
"97",5.74401046810883e-05
"98",6.58459736588086e-05
"99",6.02420610069951e-05
"100",6.44449954958552e-05
"101",3.78264103997411e-05
"102",5.46381483551816e-05
"103",4.62322793774613e-05
