"","basin_assign_rescale"
"1",3.14009718019273e-05
"2",6.28019436038547e-05
"3",3.19824712797408e-05
"4",2.67489759794196e-05
"5",6.33834430816681e-05
"6",3.14009718019273e-05
"7",2.55859770237926e-05
"8",3.02379728463004e-05
"9",4.88459561363314e-05
"10",8.37359248051395e-05
"11",3.31454702353677e-05
"12",9.07139185389011e-05
"13",2.55859770237926e-05
"14",2.32599791125388e-05
"15",8.37359248051395e-05
"16",8.37359248051395e-05
"17",2.32599791125388e-05
"18",3.7215966580062e-05
"19",2.849347441286e-05
"20",5.698694882572e-05
"21",8.37359248051395e-05
"22",3.7215966580062e-05
"23",6.86169383819893e-05
"24",3.54714681466216e-05
"25",8.60619227163934e-05
"26",8.60619227163934e-05
"27",8.66434221942069e-05
"28",8.19914263716991e-05
"29",8.60619227163934e-05
"30",5.29164524810257e-05
"31",8.3154425327326e-05
"32",5.05904545697718e-05
"33",5.52424503922795e-05
"34",8.37359248051395e-05
"35",8.37359248051395e-05
"36",3.02379728463004e-05
"37",3.19824712797408e-05
"38",3.54714681466216e-05
"39",8.66434221942069e-05
"40",8.14099268938857e-05
"41",2.67489759794196e-05
"42",8.54804232385799e-05
"43",8.83879206276473e-05
"44",3.02379728463004e-05
"45",6.62909404707355e-05
"46",3.02379728463004e-05
"47",2.32599791125388e-05
"48",2.96564733684869e-05
"49",4.47754597916371e-05
"50",4.76829571807045e-05
"51",5.00089550919583e-05
"52",7.09429362932432e-05
"53",4.30309613581967e-05
"54",2.55859770237926e-05
"55",2.96564733684869e-05
"56",5.5823949870093e-05
"57",3.14009718019273e-05
"58",2.55859770237926e-05
"59",8.60619227163934e-05
"60",9.12954180167146e-05
"61",8.08284274160722e-05
"62",2.32599791125388e-05
"63",3.08194723241139e-05
"64",8.37359248051395e-05
"65",9.12954180167146e-05
"66",8.3154425327326e-05
"67",3.02379728463004e-05
"68",3.14009718019273e-05
"69",3.19824712797408e-05
"70",6.4546442037295e-05
"71",3.25639707575543e-05
"72",4.88459561363314e-05
"73",3.31454702353677e-05
"74",4.82644566585179e-05
"75",3.37269697131812e-05
"76",4.88459561363314e-05
"77",7.73394305491914e-05
"78",5.52424503922795e-05
"79",3.37269697131812e-05
"80",3.77974660578755e-05
"81",8.48989237607665e-05
"82",8.66434221942069e-05
"83",4.47754597916371e-05
"84",8.60619227163934e-05
"85",8.54804232385799e-05
"86",7.79209300270048e-05
"87",8.37359248051395e-05
"88",7.73394305491914e-05
"89",3.43084691909947e-05
"90",6.10574451704142e-05
"91",8.66434221942069e-05
"92",8.48989237607665e-05
"93",3.37269697131812e-05
"94",8.3154425327326e-05
"95",8.54804232385799e-05
"96",8.4317424282953e-05
"97",8.60619227163934e-05
"98",6.97799373376163e-05
"99",9.01324190610877e-05
"100",7.85024295048183e-05
"101",7.85024295048183e-05
"102",8.37359248051395e-05
"103",8.19914263716991e-05
"104",3.83789655356889e-05
"105",7.15244357710567e-05
"106",8.08284274160722e-05
"107",8.89694201054607e-05
"108",8.60619227163934e-05
"109",4.41939603138236e-05
"110",9.01324190610877e-05
"111",6.51279415151085e-05
"112",9.01324190610877e-05
"113",8.60619227163934e-05
"114",8.60619227163934e-05
"115",4.07049634469428e-05
"116",8.14099268938857e-05
"117",8.14099268938857e-05
"118",5.87314472591604e-05
"119",0
"120",7.79209300270048e-05
"121",4.88459561363314e-05
"122",9.12954180167146e-05
"123",8.60619227163934e-05
"124",8.60619227163934e-05
"125",8.66434221942069e-05
"126",5.52424503922795e-05
"127",7.21059352488701e-05
"128",8.60619227163934e-05
"129",8.66434221942069e-05
"130",6.5709440992922e-05
"131",8.83879206276473e-05
"132",8.3154425327326e-05
"133",8.89694201054607e-05
"134",8.89694201054607e-05
"135",7.38504336823106e-05
"136",8.83879206276473e-05
"137",8.66434221942069e-05
"138",8.83879206276473e-05
"139",8.60619227163934e-05
"140",8.48989237607665e-05
"141",5.05904545697718e-05
"142",4.82644566585179e-05
"143",8.3154425327326e-05
"144",5.05904545697718e-05
"145",7.85024295048183e-05
"146",2.90749738906734e-06
"147",9.01324190610877e-05
"148",6.51279415151085e-05
"149",6.04759456926008e-05
"150",6.74539394263624e-05
"151",5.40794514366526e-05
"152",8.72249216720203e-05
"153",8.95509195832742e-05
"154",5.05904545697718e-05
"155",8.83879206276473e-05
"156",8.14099268938857e-05
"157",0
"158",5.05904545697718e-05
"159",5.52424503922795e-05
"160",8.3154425327326e-05
"161",1.97709822456579e-05
"162",5.05904545697718e-05
"163",6.51279415151085e-05
"164",4.82644566585179e-05
"165",8.25729258495126e-05
"166",5.75684483035334e-05
"167",7.15244357710567e-05
"168",7.85024295048183e-05
"169",8.95509195832742e-05
"170",8.3154425327326e-05
"171",8.3154425327326e-05
"172",5.5823949870093e-05
"173",7.85024295048183e-05
"174",5.52424503922795e-05
"175",6.68724399485489e-05
"176",8.83879206276473e-05
"177",8.60619227163934e-05
"178",5.64054493479065e-05
"179",8.72249216720203e-05
"180",8.37359248051395e-05
"181",5.64054493479065e-05
"182",6.62909404707355e-05
"183",8.60619227163934e-05
"184",6.62909404707355e-05
"185",8.37359248051395e-05
"186",8.3154425327326e-05
"187",8.3154425327326e-05
"188",5.52424503922795e-05
"189",5.05904545697718e-05
"190",5.34979519588391e-05
"191",8.3154425327326e-05
"192",8.78064211498338e-05
"193",8.08284274160722e-05
"194",8.78064211498338e-05
"195",8.4317424282953e-05
"196",8.08284274160722e-05
"197",6.74539394263624e-05
"198",8.25729258495126e-05
"199",5.98944462147873e-05
"200",5.5823949870093e-05
"201",6.68724399485489e-05
"202",7.61764315935644e-05
"203",7.26874347266836e-05
"204",7.09429362932432e-05
"205",7.85024295048183e-05
"206",7.09429362932432e-05
"207",6.68724399485489e-05
"208",7.79209300270048e-05
"209",5.52424503922795e-05
"210",8.37359248051395e-05
"211",8.72249216720203e-05
"212",4.88459561363314e-05
"213",8.37359248051395e-05
"214",6.4546442037295e-05
"215",7.79209300270048e-05
"216",8.37359248051395e-05
"217",4.88459561363314e-05
"218",2.90749738906734e-06
"219",8.66434221942069e-05
"220",6.39649425594816e-05
"221",6.86169383819893e-05
"222",8.37359248051395e-05
"223",8.25729258495126e-05
"224",6.33834430816681e-05
"225",8.66434221942069e-05
"226",6.16389446482277e-05
"227",8.60619227163934e-05
"228",9.01324190610877e-05
"229",8.54804232385799e-05
"230",9.01324190610877e-05
"231",4.76829571807045e-05
"232",4.82644566585179e-05
"233",6.51279415151085e-05
"234",7.67579310713779e-05
"235",6.4546442037295e-05
"236",8.54804232385799e-05
"237",8.95509195832742e-05
"238",6.86169383819893e-05
"239",8.60619227163934e-05
"240",9.07139185389011e-05
"241",8.60619227163934e-05
"242",6.97799373376163e-05
"243",8.95509195832742e-05
"244",8.95509195832742e-05
"245",9.07139185389011e-05
"246",5.75684483035334e-05
"247",8.48989237607665e-05
"248",8.83879206276473e-05
"249",5.40794514366526e-05
"250",8.25729258495126e-05
"251",5.00089550919583e-05
"252",8.89694201054607e-05
"253",8.4317424282953e-05
"254",8.95509195832742e-05
"255",7.15244357710567e-05
"256",5.698694882572e-05
"257",9.01324190610877e-05
"258",8.83879206276473e-05
"259",6.97799373376163e-05
"260",6.39649425594816e-05
"261",9.01324190610877e-05
"262",6.97799373376163e-05
"263",6.51279415151085e-05
"264",7.79209300270048e-05
"265",6.39649425594816e-05
"266",8.3154425327326e-05
"267",8.95509195832742e-05
"268",8.4317424282953e-05
"269",5.40794514366526e-05
"270",7.38504336823106e-05
"271",5.75684483035334e-05
"272",6.10574451704142e-05
"273",6.04759456926008e-05
"274",7.96654284604452e-05
"275",6.28019436038547e-05
"276",8.3154425327326e-05
"277",8.60619227163934e-05
"278",8.60619227163934e-05
"279",6.62909404707355e-05
"280",5.5823949870093e-05
"281",5.5823949870093e-05
"282",2.90749738906734e-06
"283",8.37359248051395e-05
"284",7.79209300270048e-05
"285",8.14099268938857e-05
"286",6.4546442037295e-05
"287",8.3154425327326e-05
"288",8.14099268938857e-05
"289",8.3154425327326e-05
"290",8.37359248051395e-05
"291",5.5823949870093e-05
"292",8.60619227163934e-05
"293",8.3154425327326e-05
"294",8.19914263716991e-05
"295",8.14099268938856e-06
"296",8.60619227163934e-05
"297",5.52424503922795e-05
"298",8.48989237607665e-05
"299",6.5709440992922e-05
"300",8.25729258495126e-05
"301",7.4431933160124e-05
"302",8.37359248051395e-05
"303",5.46609509144661e-05
"304",9.07139185389011e-05
"305",6.28019436038547e-05
"306",8.37359248051395e-05
"307",8.25729258495126e-05
"308",5.52424503922795e-05
"309",8.4317424282953e-05
"310",8.14099268938857e-05
"311",8.08284274160722e-05
"312",5.05904545697718e-05
"313",8.37359248051395e-05
"314",8.4317424282953e-05
