"","basin_assign_rescale"
"1",4.40042533731488e-05
"2",5.57015865482897e-05
"3",4.038365024751e-05
"4",3.75985709200955e-05
"5",6.34998086650502e-05
"6",4.01051423147686e-05
"7",3.75985709200955e-05
"8",3.92696185165442e-05
"9",6.68419038579476e-05
"10",6.34998086650502e-05
"11",6.60063800597232e-05
"12",6.26642848668259e-05
"13",3.4813491592681e-05
"14",3.36994598617152e-05
"15",6.34998086650502e-05
"16",6.32213007323088e-05
"17",3.2306920198008e-05
"18",6.54493641942403e-05
"19",3.89911105838028e-05
"20",6.43353324632745e-05
"21",6.32213007323088e-05
"22",6.7120411790689e-05
"23",6.34998086650502e-05
"24",6.54493641942403e-05
"25",5.6537110346514e-05
"26",5.6537110346514e-05
"27",5.68156182792554e-05
"28",5.6537110346514e-05
"29",5.6537110346514e-05
"30",5.59800944810311e-05
"31",6.29427927995673e-05
"32",6.37783165977917e-05
"33",5.45875548173239e-05
"34",5.6537110346514e-05
"35",6.26642848668259e-05
"36",3.92696185165442e-05
"37",4.92959040952363e-05
"38",6.7120411790689e-05
"39",5.73726341447383e-05
"40",5.70941262119969e-05
"41",3.81555867855784e-05
"42",5.73726341447383e-05
"43",5.82081579429627e-05
"44",3.89911105838028e-05
"45",5.45875548173239e-05
"46",3.89911105838028e-05
"47",3.20284122652666e-05
"48",5.43090468845824e-05
"49",6.68419038579476e-05
"50",6.60063800597232e-05
"51",6.57278721269818e-05
"52",5.62586024137726e-05
"53",6.7120411790689e-05
"54",3.64845391891297e-05
"55",3.89911105838028e-05
"56",5.34735230863581e-05
"57",3.92696185165442e-05
"58",3.53705074581639e-05
"59",6.12717452031186e-05
"60",6.09932372703772e-05
"61",5.62586024137726e-05
"62",3.25854281307494e-05
"63",3.92696185165442e-05
"64",6.26642848668259e-05
"65",6.09932372703772e-05
"66",5.68156182792554e-05
"67",3.92696185165442e-05
"68",3.95481264492857e-05
"69",3.95481264492857e-05
"70",6.34998086650502e-05
"71",4.87388882297534e-05
"72",6.4613840396016e-05
"73",6.51708562614989e-05
"74",6.54493641942403e-05
"75",6.62848879924647e-05
"76",6.43353324632745e-05
"77",5.62586024137726e-05
"78",6.34998086650502e-05
"79",6.68419038579476e-05
"80",6.7120411790689e-05
"81",5.6537110346514e-05
"82",5.70941262119969e-05
"83",6.68419038579476e-05
"84",5.79296500102212e-05
"85",5.73726341447383e-05
"86",6.34998086650502e-05
"87",6.26642848668259e-05
"88",5.62586024137726e-05
"89",6.57278721269818e-05
"90",6.34998086650502e-05
"91",6.09932372703772e-05
"92",5.68156182792554e-05
"93",6.65633959252061e-05
"94",5.6537110346514e-05
"95",5.68156182792554e-05
"96",5.62586024137726e-05
"97",5.70941262119969e-05
"98",6.37783165977917e-05
"99",5.84866658757041e-05
"100",6.34998086650502e-05
"101",5.51445706828068e-05
"102",5.6537110346514e-05
"103",5.62586024137726e-05
"104",6.7120411790689e-05
"105",5.62586024137726e-05
"106",5.62586024137726e-05
"107",5.84866658757041e-05
"108",5.62586024137726e-05
"109",6.68419038579476e-05
"110",5.93221896739285e-05
"111",5.4030538951841e-05
"112",5.79296500102212e-05
"113",5.62586024137726e-05
"114",5.62586024137726e-05
"115",6.7120411790689e-05
"116",5.62586024137726e-05
"117",5.62586024137726e-05
"118",5.68156182792554e-05
"119",0
"120",5.6537110346514e-05
"121",6.43353324632745e-05
"122",5.96006976066699e-05
"123",5.68156182792554e-05
"124",5.62586024137726e-05
"125",5.73726341447383e-05
"126",5.62586024137726e-05
"127",5.62586024137726e-05
"128",5.68156182792554e-05
"129",5.68156182792554e-05
"130",6.32213007323088e-05
"131",5.73726341447383e-05
"132",6.23857769340844e-05
"133",5.76511420774798e-05
"134",5.76511420774798e-05
"135",5.62586024137726e-05
"136",5.70941262119969e-05
"137",5.73726341447383e-05
"138",5.73726341447383e-05
"139",5.96006976066699e-05
"140",6.09932372703772e-05
"141",6.37783165977917e-05
"142",6.57278721269818e-05
"143",6.26642848668259e-05
"144",6.37783165977917e-05
"145",5.62586024137726e-05
"146",5.68156182792554e-05
"147",5.82081579429627e-05
"148",5.54230786155482e-05
"149",5.43090468845824e-05
"150",6.34998086650502e-05
"151",6.34998086650502e-05
"152",5.73726341447383e-05
"153",5.73726341447383e-05
"154",6.37783165977917e-05
"155",5.68156182792554e-05
"156",5.62586024137726e-05
"157",0
"158",6.34998086650502e-05
"159",5.54230786155482e-05
"160",5.6537110346514e-05
"161",5.59800944810311e-05
"162",6.34998086650502e-05
"163",5.45875548173239e-05
"164",6.34998086650502e-05
"165",6.37783165977917e-05
"166",5.57015865482897e-05
"167",5.59800944810311e-05
"168",5.62586024137726e-05
"169",5.73726341447383e-05
"170",5.68156182792554e-05
"171",5.6537110346514e-05
"172",5.45875548173239e-05
"173",5.62586024137726e-05
"174",5.54230786155482e-05
"175",6.32213007323088e-05
"176",5.73726341447383e-05
"177",5.6537110346514e-05
"178",6.34998086650502e-05
"179",6.26642848668259e-05
"180",6.29427927995673e-05
"181",6.34998086650502e-05
"182",6.34998086650502e-05
"183",5.6537110346514e-05
"184",5.43090468845824e-05
"185",5.6537110346514e-05
"186",5.6537110346514e-05
"187",5.6537110346514e-05
"188",5.43090468845824e-05
"189",6.37783165977917e-05
"190",6.34998086650502e-05
"191",6.23857769340844e-05
"192",6.26642848668259e-05
"193",5.62586024137726e-05
"194",5.73726341447383e-05
"195",5.45875548173239e-05
"196",5.57015865482897e-05
"197",6.34998086650502e-05
"198",5.51445706828068e-05
"199",5.37520310190995e-05
"200",5.43090468845824e-05
"201",6.29427927995673e-05
"202",5.4030538951841e-05
"203",5.4030538951841e-05
"204",5.4030538951841e-05
"205",5.48660627500653e-05
"206",5.4030538951841e-05
"207",6.34998086650502e-05
"208",6.26642848668259e-05
"209",5.43090468845824e-05
"210",5.6537110346514e-05
"211",5.93221896739285e-05
"212",6.34998086650502e-05
"213",5.6537110346514e-05
"214",6.34998086650502e-05
"215",6.18287610686015e-05
"216",5.6537110346514e-05
"217",6.34998086650502e-05
"218",5.6537110346514e-05
"219",6.09932372703772e-05
"220",6.34998086650502e-05
"221",5.34735230863581e-05
"222",5.29165072208752e-05
"223",5.98792055394114e-05
"224",6.2107269001343e-05
"225",5.68156182792554e-05
"226",5.93221896739285e-05
"227",5.59800944810311e-05
"228",5.73726341447383e-05
"229",5.62586024137726e-05
"230",5.76511420774798e-05
"231",6.12717452031186e-05
"232",6.37783165977917e-05
"233",5.34735230863581e-05
"234",6.23857769340844e-05
"235",6.34998086650502e-05
"236",5.37520310190995e-05
"237",6.04362214048943e-05
"238",6.29427927995673e-05
"239",5.70941262119969e-05
"240",5.73726341447383e-05
"241",5.6537110346514e-05
"242",5.51445706828068e-05
"243",5.96006976066699e-05
"244",6.26642848668259e-05
"245",5.76511420774798e-05
"246",5.34735230863581e-05
"247",5.9043681741187e-05
"248",5.70941262119969e-05
"249",5.43090468845824e-05
"250",6.18287610686015e-05
"251",6.37783165977917e-05
"252",5.68156182792554e-05
"253",5.62586024137726e-05
"254",5.68156182792554e-05
"255",5.45875548173239e-05
"256",6.34998086650502e-05
"257",5.84866658757041e-05
"258",5.79296500102212e-05
"259",5.45875548173239e-05
"260",6.34998086650502e-05
"261",5.76511420774798e-05
"262",5.48660627500653e-05
"263",6.32213007323088e-05
"264",5.48660627500653e-05
"265",6.34998086650502e-05
"266",5.6537110346514e-05
"267",5.68156182792554e-05
"268",5.96006976066699e-05
"269",5.43090468845824e-05
"270",6.26642848668259e-05
"271",5.34735230863581e-05
"272",5.34735230863581e-05
"273",6.34998086650502e-05
"274",6.18287610686015e-05
"275",5.34735230863581e-05
"276",6.09932372703772e-05
"277",5.62586024137726e-05
"278",5.62586024137726e-05
"279",6.34998086650502e-05
"280",6.34998086650502e-05
"281",5.34735230863581e-05
"282",5.6537110346514e-05
"283",6.01577134721528e-05
"284",5.48660627500653e-05
"285",5.51445706828068e-05
"286",6.32213007323088e-05
"287",6.12717452031186e-05
"288",6.15502531358601e-05
"289",6.01577134721528e-05
"290",5.6537110346514e-05
"291",5.34735230863581e-05
"292",5.62586024137726e-05
"293",5.6537110346514e-05
"294",5.51445706828068e-05
"295",5.57015865482897e-05
"296",5.68156182792554e-05
"297",6.34998086650502e-05
"298",5.48660627500653e-05
"299",6.29427927995673e-05
"300",6.01577134721528e-05
"301",5.4030538951841e-05
"302",5.59800944810311e-05
"303",5.34735230863581e-05
"304",5.73726341447383e-05
"305",6.37783165977917e-05
"306",5.62586024137726e-05
"307",6.12717452031186e-05
"308",6.34998086650502e-05
"309",5.37520310190995e-05
"310",5.51445706828068e-05
"311",5.4030538951841e-05
"312",6.34998086650502e-05
"313",5.37520310190995e-05
"314",5.43090468845824e-05
"315",6.07147293376357e-05
"316",5.45875548173239e-05
"317",5.43090468845824e-05
"318",6.34998086650502e-05
"319",5.87651738084456e-05
"320",5.59800944810311e-05
"321",6.26642848668259e-05
"322",5.93221896739285e-05
"323",5.4030538951841e-05
"324",6.18287610686015e-05
"325",5.34735230863581e-05
"326",5.93221896739285e-05
"327",5.93221896739285e-05
"328",6.34998086650502e-05
"329",5.29165072208752e-05
"330",5.93221896739285e-05
"331",5.51445706828068e-05
"332",5.51445706828068e-05
"333",5.93221896739285e-05
"334",5.48660627500653e-05
"335",6.15502531358601e-05
"336",6.26642848668259e-05
"337",5.84866658757041e-05
"338",5.6537110346514e-05
"339",5.76511420774798e-05
"340",5.93221896739285e-05
"341",6.26642848668259e-05
