"","basin_assign_rescale"
"1",2.81723647883003e-05
"2",1.5651313771278e-05
"3",2.81723647883003e-05
"4",4.06934158053227e-05
"5",6.26052550851118e-05
"6",3.13026275425559e-05
"7",4.06934158053227e-05
"8",3.75631530510671e-05
"9",8.4517094364901e-05
"10",5.63447295766007e-05
"11",5.94749923308563e-05
"12",3.13026275425559e-05
"13",4.06934158053227e-05
"14",4.06934158053227e-05
"15",5.63447295766007e-05
"16",5.63447295766007e-05
"17",4.38236785595783e-05
"18",5.63447295766007e-05
"19",4.06934158053227e-05
"20",5.94749923308563e-05
"21",5.63447295766007e-05
"22",6.57355178393674e-05
"23",5.63447295766007e-05
"24",5.32144668223451e-05
"25",4.38236785595783e-05
"26",4.38236785595783e-05
"27",3.75631530510671e-05
"28",3.75631530510671e-05
"29",4.38236785595783e-05
"30",0
"31",5.63447295766007e-05
"32",6.26052550851118e-05
"33",0
"34",3.75631530510671e-05
"35",5.32144668223451e-05
"36",3.75631530510671e-05
"37",3.13026275425559e-05
"38",5.94749923308563e-05
"39",3.44328902968115e-05
"40",3.13026275425559e-05
"41",4.06934158053227e-05
"42",3.13026275425559e-05
"43",3.75631530510671e-05
"44",3.75631530510671e-05
"45",2.50421020340447e-05
"46",3.75631530510671e-05
"47",4.38236785595783e-05
"48",0
"49",8.4517094364901e-05
"50",9.07776198734122e-05
"51",8.13868316106454e-05
"52",2.81723647883003e-05
"53",8.4517094364901e-05
"54",4.06934158053227e-05
"55",3.75631530510671e-05
"56",9.39078826276678e-06
"57",3.75631530510671e-05
"58",4.38236785595783e-05
"59",4.69539413138339e-05
"60",3.75631530510671e-05
"61",3.13026275425559e-05
"62",4.38236785595783e-05
"63",3.75631530510671e-05
"64",5.32144668223451e-05
"65",3.75631530510671e-05
"66",3.75631530510671e-05
"67",3.75631530510671e-05
"68",3.13026275425559e-05
"69",3.13026275425559e-05
"70",5.94749923308563e-05
"71",2.81723647883003e-05
"72",6.57355178393674e-05
"73",6.26052550851118e-05
"74",8.13868316106454e-05
"75",5.94749923308563e-05
"76",6.26052550851118e-05
"77",2.81723647883003e-05
"78",6.26052550851118e-05
"79",5.32144668223451e-05
"80",7.51263061021342e-05
"81",3.75631530510671e-05
"82",3.75631530510671e-05
"83",8.76473571191566e-05
"84",3.13026275425559e-05
"85",3.75631530510671e-05
"86",5.63447295766007e-05
"87",5.32144668223451e-05
"88",2.81723647883003e-05
"89",5.63447295766007e-05
"90",6.26052550851118e-05
"91",4.69539413138339e-05
"92",3.75631530510671e-05
"93",5.32144668223451e-05
"94",3.44328902968115e-05
"95",3.75631530510671e-05
"96",3.75631530510671e-05
"97",4.06934158053227e-05
"98",5.63447295766007e-05
"99",3.75631530510671e-05
"100",5.63447295766007e-05
"101",3.13026275425559e-05
"102",3.75631530510671e-05
"103",3.13026275425559e-05
"104",8.13868316106454e-05
"105",2.81723647883003e-05
"106",3.13026275425559e-05
"107",3.44328902968115e-05
"108",4.38236785595783e-05
"109",8.76473571191566e-05
"110",4.06934158053227e-05
"111",2.50421020340447e-05
"112",3.75631530510671e-05
"113",4.38236785595783e-05
"114",4.38236785595783e-05
"115",8.4517094364901e-05
"116",3.13026275425559e-05
"117",3.13026275425559e-05
"118",0
"119",0
"120",2.81723647883003e-05
"121",8.76473571191566e-05
"122",3.75631530510671e-05
"123",4.06934158053227e-05
"124",4.38236785595783e-05
"125",3.44328902968115e-05
"126",0
"127",2.81723647883003e-05
"128",4.06934158053227e-05
"129",3.75631530510671e-05
"130",5.94749923308563e-05
"131",4.06934158053227e-05
"132",5.63447295766007e-05
"133",3.75631530510671e-05
"134",3.75631530510671e-05
"135",2.81723647883003e-05
"136",4.06934158053227e-05
"137",3.75631530510671e-05
"138",3.75631530510671e-05
"139",5.00842040680895e-05
"140",5.32144668223451e-05
"141",6.26052550851118e-05
"142",9.39078826276678e-05
"143",5.63447295766007e-05
"144",6.26052550851118e-05
"145",3.13026275425559e-05
"146",0
"147",3.75631530510671e-05
"148",2.19118392797891e-05
"149",1.5651313771278e-05
"150",5.94749923308563e-05
"151",6.57355178393674e-05
"152",3.75631530510671e-05
"153",4.06934158053227e-05
"154",6.26052550851118e-05
"155",4.06934158053227e-05
"156",3.13026275425559e-05
"157",0
"158",6.57355178393674e-05
"159",0
"160",3.75631530510671e-05
"161",0
"162",6.57355178393674e-05
"163",2.19118392797891e-05
"164",8.4517094364901e-05
"165",5.63447295766007e-05
"166",0
"167",2.81723647883003e-05
"168",2.81723647883003e-05
"169",4.06934158053227e-05
"170",3.75631530510671e-05
"171",3.75631530510671e-05
"172",0
"173",3.13026275425559e-05
"174",0
"175",5.94749923308563e-05
"176",4.06934158053227e-05
"177",4.38236785595783e-05
"178",6.26052550851118e-05
"179",4.38236785595783e-05
"180",5.32144668223451e-05
"181",6.26052550851118e-05
"182",5.94749923308563e-05
"183",4.38236785595783e-05
"184",2.81723647883003e-05
"185",3.75631530510671e-05
"186",3.75631530510671e-05
"187",3.75631530510671e-05
"188",0
"189",6.26052550851118e-05
"190",6.57355178393674e-05
"191",5.63447295766007e-05
"192",3.75631530510671e-05
"193",3.13026275425559e-05
"194",4.06934158053227e-05
"195",4.38236785595783e-05
"196",3.13026275425559e-05
"197",5.94749923308563e-05
"198",3.75631530510671e-05
"199",1.5651313771278e-05
"200",0
"201",5.94749923308563e-05
"202",3.13026275425559e-05
"203",2.81723647883003e-05
"204",2.81723647883003e-05
"205",3.13026275425559e-05
"206",2.81723647883003e-05
"207",5.94749923308563e-05
"208",5.63447295766007e-05
"209",0
"210",3.75631530510671e-05
"211",4.69539413138339e-05
"212",8.13868316106454e-05
"213",3.75631530510671e-05
"214",5.94749923308563e-05
"215",5.63447295766007e-05
"216",3.75631530510671e-05
"217",6.57355178393674e-05
"218",0
"219",4.38236785595783e-05
"220",6.26052550851118e-05
"221",2.81723647883003e-05
"222",4.38236785595783e-05
"223",5.63447295766007e-05
"224",5.94749923308563e-05
"225",4.06934158053227e-05
"226",0
"227",4.38236785595783e-05
"228",3.75631530510671e-05
"229",4.69539413138339e-05
