date,tide (am/ pm),#caught,UW_OtoID,Scale_Card#,Genetics_ID,Sex,"Length (mideye-FL, mm)",MeshSize (in),Gen. Coll.? (Y/N),Oto. Coll.? (Y/N),Notes
2018-06-01,pm,,1,1,26758,m,668,8,y,y,
2018-06-02,am,,2,2,26762,m,768,8,y,y,
2018-06-03,am,,3,3,26755,m,779,8,y,y,
2018-06-05,am,,7,4,26740,m,754,8,y,y,
2018-06-05,am,,4,4,26736,m,693,5.375,y,y,
2018-06-05,am,,5,4,26736,m,664,5.375,y,y,
2018-06-05,am,,6,4,26736,m,710,5.375,y,y,
2018-06-06,am,,8,6,26759,m,793,8,y,y,
2018-06-07,am,,9,7,26733,m,693,8,y,y,
2018-06-07,am,,10,7,26733,f,800,8,y,y,
2018-06-07,pm,,11,7,26733,f,857,8,y,y,
2018-06-07,pm,,12,8,26744,m,687,5.375,y,y,
2018-06-09,pm,,14,10,26732,f,895,8,y,y,
2018-06-09,pm,,15,10,26732,f,802,8,y,y,
2018-06-09,pm,,16,10,26732,f,875,8,y,y,
2018-06-09,pm,,17,10,26732,f,850,8,y,y,
2018-06-09,am,,13,9,26737,m,619,5.375,y,y,
2018-06-10,pm,,1,11,26745,m,778,8,y,y,
2018-06-10,pm,,19,11,26745,m,796,8,y,y,
2018-06-10,pm,,20,11,26745,f,728,8,y,y,
2018-06-10,pm,,21,11,26745,m,732,8,y,y,
2018-06-10,pm,,22,11,26745,m,673,8,y,y,
2018-06-10,pm,,23,12,26741,f,789,5.375,y,y,
2018-06-11,pm,,24,13,26746,m,732,8,y,y,
2018-06-11,pm,,25,13,26746,f,852,8,y,y,
2018-06-11,pm,,26,13,26746,m,744,8,y,y,
2018-06-11,pm,,27,13,26746,m,685,8,y,y,
2018-06-11,pm,,28,13,26746,m,768,8,y,y,
2018-06-11,am,,30,13,26746,f,801,8,y,y,
2018-06-11,pm,,29,14,26721,m,686,5.375,y,y,
2018-06-11,am,,31,14,26721,m,627,5.375,y,y,
2018-06-12,pm,,38,16,26739,f,755,8,y,y,
2018-06-12,pm,,39,16,26739,m,804,8,y,y,
2018-06-12,pm,,40,16,26739,m,737,8,y,y,
2018-06-12,pm,,41,16,26739,m,756,8,y,y,
2018-06-12,pm,,42,16,26739,m,730,8,y,y,
2018-06-12,pm,,43,16,26739,m,750,8,y,y,
2018-06-12,am,,32,15,26735,f,776,5.375,y,y,
2018-06-12,am,,33,15,26735,m,572,5.375,y,y,
2018-06-12,am,,34,15,26735,f,834,5.375,y,y,
2018-06-12,am,,35,15,26735,f,859,5.375,y,y,
2018-06-12,am,,36,15,26735,f,800,5.375,y,y,
2018-06-12,am,,37,15,26735,f,866,5.375,y,y,
2018-06-13,-1,,44,17,26743,f,826,8,y,y,
2018-06-13,-1,,45,17,26743,f,767,8,y,y,
2018-06-13,-1,,46,17,26743,f,834,8,y,y,
2018-06-13,-1,,47,17,26743,f,763,8,y,y,
2018-06-13,-1,,48,17,26743,f,775,8,y,y,
2018-06-13,-1,,49,17,26743,f,834,8,y,y,
2018-06-13,-1,,50,17,26743,m,819,8,y,y,
2018-06-13,-1,,51,17,26743,f,728,8,y,y,
2018-06-13,-1,,52,17,26743,f,741,8,y,y,
2018-06-13,-1,,53,17,26743,m,691,8,y,y,
2018-06-13,-1,,54,18,26743,f,789,8,y,y,
2018-06-13,-1,,55,19,26717,m,703,5.375,y,y,
2018-06-13,-1,,56,19,26717,m,641,5.375,y,y,
2018-06-13,-1,,57,19,26717,m,904,5.375,y,y,
2018-06-14,am,,58,20,26725,m,697,5.375,y,y,
2018-06-14,am,,59,20,26725,m,607,5.375,y,y,
2018-06-14,am,,60,20,26725,m,670,5.375,y,y,
2018-06-14,am,,61,20,26725,f,846,5.375,y,y,
2018-06-14,pm,,65,22,26751,m,603,8,y,y,
2018-06-14,pm,,66,22,26751,m,749,8,y,y,
2018-06-14,pm,,67,22,26751,m,711,8,y,y,
2018-06-14,pm,,68,22,26751,m,763,8,y,y,
2018-06-14,pm,,69,22,26751,m,747,8,y,y,
2018-06-14,pm,,70,22,26751,f,798,8,y,y,
2018-06-14,pm,,71,22,26751,m,784,8,y,y,
2018-06-14,pm,,72,22,26751,f,769,8,y,y,
