tributary_group_id,year,trib_total_assignment_rescale,trib_total_assignment_individuals,n_reaches,mean_str_order,min_str_order,max_str_order,stream_order
3_10046_3,2017,0,0,2,3,3,3,3
3_1006_4,2017,0,0,3,4,4,4,4
3_10076_3,2017,2.526738193670425e-5,3.3478270370855663,7,3,3,3,3
3_10078_3,2017,0,0,1,3,3,3,3
3_10137_4,2017,3.965019963170313e-4,52.53492850402138,1,4,4,4,4
3_1014_3,2017,0.0016859938392186594,223.3874397211155,4,3,3,3,3
3_10158_3,2017,0,0,5,3,3,3,3
3_10175_3,2017,0.0011918573204518486,157.91632753058812,11,3,3,3,3
3_10202_3,2017,3.49906101515171e-4,46.36115882635409,1,3,3,3,3
3_10203_4,2017,3.965019963170313e-4,52.53492850402138,1,4,4,4,4
3_10218_4,2017,0,0,17,4,4,4,4
3_10244_3,2017,0,0,7,3,3,3,3
3_10247_4,2017,5.82137913324908e-4,77.13094496389702,1,4,4,4,4
3_10260_4,2017,2.772061298064821e-4,36.72870337483965,1,4,4,4,4
3_10300_4,2017,2.772061298064821e-4,36.72870337483965,1,4,4,4,4
3_10328_3,2017,0,0,4,3,3,3,3
3_1033_4,2017,0,0,9,4,4,4,4
3_10345_3,2017,0.0029328836610123268,388.59535354948923,9,3,3,3,3
3_10374_3,2017,7.704836308653827e-4,102.08599915513975,3,3,3,3,3
3_10432_3,2017,0.007139677695672464,945.9787359658185,18,3,3,3,3
3_10441_4,2017,4.795272645111633e-4,63.53544443867109,1,4,4,4,4
3_10456_4,2017,0,0,16,4,4,4,4
3_10461_3,2017,0,0,1,3,3,3,3
3_10468_4,2017,0,0,15,4,4,4,4
3_10494_3,2017,1.383239783927586e-4,18.327373841126942,2,3,3,3,3
3_10506_3,2017,0,0,8,3,3,3,3
3_10511_4,2017,0,0,14,4,4,4,4
3_10513_4,2017,0,0,13,4,4,4,4
3_10522_4,2017,4.795272645111633e-4,63.53544443867109,1,4,4,4,4
3_10524_3,2017,0,0,1,3,3,3,3
3_10532_4,2017,4.795272645111633e-4,63.53544443867109,2,4,4,4,4
3_10536_3,2017,0,0,1,3,3,3,3
3_10569_4,2017,4.795272645111633e-4,63.53544443867109,3,4,4,4,4
3_10613_3,2017,0,0,2,3,3,3,3
3_10619_3,2017,0,0,5,3,3,3,3
3_10622_4,2017,0.0013624005318984295,180.51262087441432,3,4,4,4,4
3_10626_4,2017,9.871794659991524e-4,130.7973305270237,4,4,4,4,4
3_10631_4,2017,0.004447401366514409,589.2628914576932,8,4,4,4,4
3_10639_3,2017,0,0,4,3,3,3,3
3_10640_4,2017,7.50966466892931e-4,99.50005299744578,2,4,4,4,4
