original_reachid,upstream_reachid,reachbase
1075,1075,4
1075,1033,4
1075,1173,4
1075,950,4
1075,1032,4
1075,1218,4
1075,1406,4
1075,924,4
1075,956,4
1075,980,4
1075,1042,4
1075,1398,4
1075,1507,4
1075,918,4
1075,959,4
1075,1557,4
1075,1601,4
1075,891,4
1075,965,4
1075,877,4
1075,888,4
1075,858,4
1075,874,4
1075,878,4
1075,1006,4
1075,869,4
1075,871,4
1075,957,4
1075,1084,4
1075,820,4
1075,886,4
1075,1051,4
1075,1094,4
1075,803,4
1075,826,4
1075,1112,4
1075,1261,4
1075,1105,4
1075,1124,4
1075,1266,4
1075,1447,4
1075,1135,4
1075,1221,4
1075,1308,4
1075,1309,4
1075,1328,4
1075,1497,4
1075,1283,4
1075,1317,4
1075,1323,4
1075,1329,4
1075,1382,4
1075,1574,4
1075,1249,4
1075,1288,4
1075,1301,4
1075,1334,4
1075,1350,4
1075,1456,4
1075,1564,4
1075,1851,4
1075,1554,4
1075,1661,4
1075,1793,4
1075,1906,4
1075,1494,4
1075,1556,4
1075,1728,4
1075,1825,4
1075,1688,4
1075,1731,4
1075,1774,4
1075,1850,4
462,462,4
462,467,4
462,475,4
462,450,4
462,484,4
462,493,4
462,548,4
462,459,4
462,486,4
462,495,4
462,565,4
462,468,4
462,480,4
462,573,4
462,649,4
462,423,4
462,439,4
462,460,4
462,492,4
462,575,4
462,602,4
462,648,4
462,650,4
462,482,4
462,537,4
462,577,4
462,629,4
462,588,4
462,607,4
364,364,4
364,282,4
364,362,4
364,192,4
364,312,4
364,183,4
364,191,4
364,224,4
364,250,4
364,109,4
364,142,4
364,174,4
364,190,4
364,219,4
364,221,4
364,79,4
364,106,4
364,121,4
364,144,4
364,216,4
364,218,4
364,83,4
364,96,4
364,87,4
364,91,4
364,84,4
364,95,4
364,104,4
364,108,4
364,101,4
364,115,4
364,116,4
364,124,4
364,99,4
364,117,4
364,123,4
364,133,4
364,47,4
364,98,4
364,132,4
364,135,4
364,31,4
364,42,4
364,103,4
364,136,4
364,139,4
364,146,4
364,19,4
364,27,4
364,29,4
364,30,4
364,153,4
364,160,4
364,22,4
364,25,4
364,161,4
364,162,4
364,17,4
364,18,4
364,159,4
364,166,4
364,171,4
364,182,4
364,11,4
364,14,4
364,110,4
364,165,4
364,181,4
364,185,4
364,67,4
364,88,4
364,198,4
364,206,4
364,80,4
364,85,4
364,210,4
364,223,4
364,220,4
364,234,4
364,197,4
364,229,4
364,78,4
364,217,4
364,240,4
364,281,4
364,284,4
364,290,4
364,273,4
364,288,4
364,323,4
364,329,4
364,232,4
364,259,4
364,324,4
364,359,4
364,122,4
364,248,4
364,291,4
364,375,4
364,228,4
364,287,4
364,395,4
364,398,4
364,211,4
364,214,4
364,361,4
