reachbase,original_reachid,stream_order,upstream_reachid,tributary_group_id
3,902,3,902,3_902_3
3,978,3,978,3_978_3
3,925,3,925,3_925_3
3,935,3,935,3_935_3
3,950,3,950,3_950_3
3,951,3,951,3_951_3
3,961,3,961,3_961_3
3,971,3,971,3_971_3
3,976,3,976,3_976_3
3,979,3,979,3_979_3
3,984,3,984,3_984_3
3,992,3,992,3_992_3
3,994,3,994,3_994_3
3,996,3,996,3_996_3
3,1011,3,1011,3_1011_3
3,1016,3,1016,3_1016_3
3,1019,3,1019,3_1019_3
3,1023,3,1023,3_1023_3
3,1048,3,1048,3_1048_3
3,1060,3,1060,3_1060_3
3,1062,3,1062,3_1062_3
3,1066,3,1066,3_1066_3
3,1069,3,1069,3_1069_3
3,1080,3,1080,3_1080_3
3,1083,3,1083,3_1083_3
3,1096,3,1096,3_1096_3
3,1104,3,1104,3_1104_3
3,1107,3,1107,3_1107_3
3,1110,3,1110,3_1110_3
3,1132,3,1132,3_1132_3
3,1141,3,1141,3_1141_3
3,1142,3,1142,3_1142_3
3,1168,3,1168,3_1168_3
3,1174,3,1174,3_1174_3
3,1178,3,1178,3_1178_3
3,1179,3,1179,3_1179_3
3,1180,3,1180,3_1180_3
3,1187,3,1187,3_1187_3
3,1201,3,1201,3_1201_3
3,1203,3,1203,3_1203_3
3,1208,3,1208,3_1208_3
3,1211,3,1211,3_1211_3
3,1214,3,1214,3_1214_3
3,1220,3,1220,3_1220_3
3,1228,3,1228,3_1228_3
3,1236,3,1236,3_1236_3
3,1242,3,1242,3_1242_3
3,1251,3,1251,3_1251_3
3,1257,3,1257,3_1257_3
3,1260,3,1260,3_1260_3
3,1264,3,1264,3_1264_3
3,1268,3,1268,3_1268_3
3,1276,3,1276,3_1276_3
3,1283,3,1283,3_1283_3
3,1284,3,1284,3_1284_3
3,1285,3,1285,3_1285_3
3,1287,3,1287,3_1287_3
3,1294,3,1294,3_1294_3
3,1297,3,1297,3_1297_3
3,1301,3,1301,3_1301_3
3,1310,3,1310,3_1310_3
3,1324,3,1324,3_1324_3
3,1325,3,1325,3_1325_3
3,1328,3,1328,3_1328_3
3,1331,3,1331,3_1331_3
3,1332,3,1332,3_1332_3
3,1334,3,1334,3_1334_3
3,1337,3,1337,3_1337_3
3,1340,3,1340,3_1340_3
3,1341,3,1341,3_1341_3
3,1350,3,1350,3_1350_3
3,1371,3,1371,3_1371_3
3,1374,3,1374,3_1374_3
3,1385,3,1385,3_1385_3
3,1388,3,1388,3_1388_3
3,1398,3,1398,3_1398_3
3,1399,3,1399,3_1399_3
3,1422,3,1422,3_1422_3
3,1425,3,1425,3_1425_3
3,1439,3,1439,3_1439_3
3,1440,3,1440,3_1440_3
3,1442,3,1442,3_1442_3
3,1450,3,1450,3_1450_3
3,1451,3,1451,3_1451_3
3,1453,3,1453,3_1453_3
3,1465,3,1465,3_1465_3
3,1466,3,1466,3_1466_3
3,1472,3,1472,3_1472_3
3,1475,3,1475,3_1475_3
3,1481,3,1481,3_1481_3
3,1482,3,1482,3_1482_3
3,1491,3,1491,3_1491_3
3,1498,3,1498,3_1498_3
3,1511,3,1511,3_1511_3
3,1515,3,1515,3_1515_3
3,1518,3,1518,3_1518_3
3,1519,3,1519,3_1519_3
3,1522,3,1522,3_1522_3
3,1523,3,1523,3_1523_3
3,1526,3,1526,3_1526_3
3,1531,3,1531,3_1531_3
3,1532,3,1532,3_1532_3
3,1534,3,1534,3_1534_3
3,1536,3,1536,3_1536_3
3,1579,3,1579,3_1579_3
3,1781,3,1781,3_1781_3
3,1811,3,1811,3_1811_3
3,1835,3,1835,3_1835_3
3,1837,3,1837,3_1837_3
3,1558,3,1558,3_1558_3
3,1559,3,1559,3_1559_3
3,1568,3,1568,3_1568_3
3,1573,3,1573,3_1573_3
3,1574,3,1574,3_1574_3
3,1575,3,1575,3_1575_3
3,1576,3,1576,3_1576_3
3,1587,3,1587,3_1587_3
3,1590,3,1590,3_1590_3
3,1591,3,1591,3_1591_3
3,1597,3,1597,3_1597_3
3,1598,3,1598,3_1598_3
3,1606,3,1606,3_1606_3
3,1611,3,1611,3_1611_3
3,1615,3,1615,3_1615_3
3,1616,3,1616,3_1616_3
3,1618,3,1618,3_1618_3
3,1619,3,1619,3_1619_3
