stream_order,year,n_groups,total_individuals,mean_individuals_per_group,sd_individuals_per_group,max_individuals_group
3,2017,5182,32995.633793547524,6.3673550354201645,22.89567763046257,231.8079309634975
3,2018,5182,35991.6097200548,6.945505542272304,25.038863474445304,241.7318981505408
3,2019,5182,49834.97317886223,9.616938089321074,35.486882271856686,312.50737775983185
3,2020,5182,33263.5230554052,6.4190511492482445,23.730598258627467,214.93101763501653
3,2021,5182,30584.87181280812,5.9021365906614855,21.266902259972532,169.8375937193878
4,2017,1166,37943.54800127126,32.541636364726614,59.05913366796106,464.33158455623
4,2018,1166,41664.092453276004,35.73249781584559,64.5599253137641,553.1102736291508
4,2019,1166,57122.99477910787,48.99056156012679,92.14847913303927,755.5321176100485
4,2020,1166,37622.285215107324,32.26611081913153,60.92528855755374,535.9147461658478
4,2021,1166,35307.2513852995,30.28066156543688,55.464557740176566,448.2436885123408
5,2017,280,42553.39616176935,151.97641486346194,206.50845563193766,1229.3721211962118
5,2018,280,46553.415577349144,166.26219849053265,219.5247819214601,1303.3573525764727
5,2019,280,64117.49369041977,228.99104889435634,311.5211615394436,1837.120561972382
5,2020,280,42283.41146172538,151.01218379187648,211.64422110455286,1340.2073959141696
5,2021,280,39678.5399511601,141.70907125414325,191.0039927442973,1154.340535860417
6,2017,80,40467.375198301685,505.84218997877105,527.7371611988979,2868.6611368882654
6,2018,80,45018.709454882104,562.7338681860265,560.6981419597557,3060.9357814584
6,2019,80,60462.521528199366,755.781519102492,814.2665351555604,4577.337349001959
6,2020,80,39850.14885895076,498.12686073688457,530.3566361275797,2723.5028352319728
6,2021,80,37678.50983612058,470.98137295150735,495.2839539304633,2676.371992338289
7,2017,14,45513.841859953274,3250.9887042823775,5387.406540001096,18060.76735270528
7,2018,14,50417.6633983817,3601.2616713129783,5896.950836839816,19826.386245843278
7,2019,14,70675.40318433617,5048.243084595441,8460.072849720364,28248.86057738588
7,2020,14,44315.65077088217,3165.4036264915835,5316.2885748667595,17795.17670294476
7,2021,14,42479.29004504396,3034.235003217426,5005.910486026989,16792.583034583684
8,2017,4,32154.477211012727,8038.619302753181,8535.884078140294,18166.553865388025
8,2018,4,35256.455886477,8814.11397161925,9333.495119945479,19942.235983182392
8,2019,4,49710.53600457909,12427.634001144772,13269.212981546156,28415.62544339625
8,2020,4,33140.86055494536,8285.21513873634,8575.771101446055,17924.84287812785
8,2021,4,30167.749049704307,7541.937262426077,7943.1359447090945,16902.629407971086
