focal_reach,stream_order,Year_2015,Year_2016,Year_2018,Year_2021
902,3,0,0,0,0
925,3,0,0,0,0
935,3,0,0,0,0
950,3,0,0,0,0
951,3,0,0,0,0
961,3,0,0,0,0
971,3,0,0,0,0
976,3,0,0,0,0
978,3,0,0,0,0
979,3,0,0,0,0
984,3,0,0,0,0
992,3,0,0,0,0
994,3,0,0,0,0
996,3,0,0,0,0
1011,3,0,0,0,0
1016,3,0,0,0,0
1019,3,0,0,0,0
1023,3,0,0,0,0
1048,3,0,0,0,0
1060,3,0,0,0,0
1062,3,0,0,0,0
1066,3,0,0,0,0
1069,3,0,0,0,0
1080,3,0,0,0,0
1083,3,0,0,0,0
1096,3,0,0,0,0
1104,3,0,0,0,0
1107,3,0,0,0,0
1110,3,0,0,0,0
1132,3,0,0,0,0
1141,3,0,0,0,0
1142,3,0,0,0,0
1168,3,0,0,0,0
1174,3,0,0,0,0
1178,3,0,0,0,0
1179,3,0,0,0,0
1180,3,0,0,0,0
1187,3,0,0,0,0
1201,3,0,0,0,0
1203,3,0,0,0,0
1208,3,0,0,0,0
1211,3,0,0,0,0
1214,3,0,0,0,0
1220,3,0,0,0,0
1228,3,0,0,0,0
1236,3,0,0,0,0
1242,3,0,0,0,0
1251,3,0,0,0,0
1257,3,0,0,0,0
1260,3,0,0,0,0
1264,3,0,0,0,0
1268,3,0,0,0,0
1276,3,0,0,0,0
1283,3,0,0,0,0
1284,3,0,0,0,0
1285,3,0,0,0,0
1287,3,0,0,0,0
1294,3,0,0,0,0
1297,3,0,0,0,0
1301,3,0,0,0,0
1310,3,0,0,0,0
1324,3,0,0,0,0
1325,3,0,0,0,0
1328,3,0,0,0,0
1331,3,0,0,0,0
1332,3,0,0,0,0
1334,3,0,0,0,0
1337,3,0,0,0,0
1340,3,0,0,0,0
1341,3,0,0,0,0
1350,3,0,0,0,0
1371,3,0,0,0,0
1374,3,0,0,0,0
1385,3,0,0,0,0
1388,3,0,0,0,0
1398,3,0,0,0,0
1399,3,0,0,0,0
1422,3,0,0,0,0
1425,3,0,0,0,0
1439,3,0,0,0,0
1440,3,0,0,0,0
1442,3,0,0,0,0
1450,3,0,0,0,0
1451,3,0,0,0,0
1453,3,0,0,0,0
1465,3,0,0,0,0
1466,3,0,0,0,0
1472,3,0,0,0,0
1475,3,0,0,0,0
1481,3,0,0,0,0
1482,3,0,0,0,0
1491,3,0,0,0,0
1498,3,0,0,0,0
1511,3,0,0,0,0
1515,3,0,0,0,0
1518,3,0,0,0,0
1519,3,0,0,0,0
1522,3,0,0,0,0
1523,3,0,0,0,0
1526,3,0,0,0,0
1531,3,0,0,0,0
1532,3,0,0,0,0
1534,3,0,0,0,0
1536,3,0,0,0,0
1558,3,0,0,0,0
1559,3,0,0,0,0
1568,3,0,0,0,0
1573,3,0,0,0,0
1574,3,0,0,0,0
1575,3,0,0,0,0
1576,3,0,0,0,0
1579,3,0,0,0,0
1587,3,0,0,0,0
1590,3,0,0,0,0
1591,3,0,0,0,0
1597,3,0,0,0,0
1598,3,0,0,0,0
1606,3,0,0,0,0
1611,3,0,0,0,0
1615,3,0,0,0,0
1616,3,0,0,0,0
1618,3,0,0,0,0
1619,3,0,0,0,0
1620,3,0,0,0,0
1625,3,0,0,0,0
1636,3,0,0,0,0
1638,3,0,0,0,0
1639,3,0,0,0,0
1641,3,0,0,0,0
1643,3,0,0,0,0
1647,3,0,0,0,0
1650,3,0,0,0,0
1651,3,0,0,0,0
1652,3,0,0,0,0
1654,3,0,0,0,0
1655,3,0,0,0,0
1660,3,0,0,0,0
1667,3,0,0,0,0
1683,3,0,0,0,0
1686,3,0,0,0,0
1688,3,0,0,0,0
1692,3,0,0,0,0
1696,3,0,0,0,0
1697,3,0,0,0,0
1698,3,0,0,0,0
1701,3,0,0,0,0
1709,3,0,0,0,0
1716,3,0,0,0,0
1727,3,0,0,0,0
1735,3,0,0,0,0
1736,3,0,0,0,0
1739,3,0,0,0,0
1747,3,0,0,0,0
1748,3,0,0,0,0
1750,3,0,0,0,0
1752,3,0,0,0,0
1757,3,0,0,0,0
1760,3,0,0,0,0
1763,3,0,0,0,0
1768,3,0,0,0,0
1777,3,0,0,0,0
1778,3,0,0,0,0
1781,3,0,0,0,0
1783,3,0,0,0,0
1787,3,0,0,0,0
1790,3,0,0,0,0
1794,3,0,0,0,0
1797,3,0,0,0,0
1802,3,0,0,0,0
1805,3,0,0,0,0
1807,3,0,0,0,0
1811,3,0,0,0,0
1816,3,0,0,0,0
1818,3,0,0,0,0
1826,3,0,0,0,0
1830,3,0,0,0,0
1835,3,0,0,0,0
1837,3,0,0,0,0
