basin,region,stream_order,mouth_reachid,n_reaches,mean_iso,median_iso,q1,q3,min_iso,max_iso,sd_iso
Yukon,upper,8,6963,2579,0.7103529333886281,0.709859671002,0.70757943859,0.712061515124,0.70239747299,0.723654262994,0.0035658281592176344
Yukon,upper,7,3968,859,0.7085061510275752,0.707787625766,0.7067527805435,0.709400252075,0.70239747299,0.723654262994,0.0032052755944161192
Yukon,upper,6,253,137,0.712667478104365,0.711320451821,0.709472944324,0.714782534079,0.702935405203,0.723654262994,0.004946841546615824
Yukon,upper,5,131,37,0.7103756929185134,0.709909113629,0.707240330104,0.711708495547,0.702935405203,0.722397055908,0.0043457931603522815
Yukon,upper,4,9,5,0.718548936531,0.720535547828,0.717148487891,0.720572401092,0.712091189936,0.722397055908,0.00407776910495022
Yukon,upper,3,1,1,0.720572401092,0.720572401092,0.720572401092,0.720572401092,0.720572401092,0.720572401092,0.0
Yukon,upper,3,2,1,0.722397055908,0.722397055908,0.722397055908,0.722397055908,0.722397055908,0.722397055908,0.0
Yukon,upper,3,3,1,0.712091189936,0.712091189936,0.712091189936,0.712091189936,0.712091189936,0.712091189936,0.0
Yukon,upper,5,217,51,0.7164494516833921,0.716739137862,0.712568255935,0.7208910303689999,0.706603492801,0.723654262994,0.005337543443851185
Yukon,upper,4,13,3,0.720189059911,0.720059246918,0.719075440402,0.7212377729235,0.718091633886,0.722416298929,0.002165252986004232
Yukon,upper,3,5,1,0.722416298929,0.722416298929,0.722416298929,0.722416298929,0.722416298929,0.722416298929,0.0
Yukon,upper,4,57,23,0.7208691533466088,0.720916013051,0.720568143829,0.7227226641465,0.710647054851,0.723654262994,0.0027648093136380023
Yukon,upper,3,6,1,0.720790379022,0.720790379022,0.720790379022,0.720790379022,0.720790379022,0.720790379022,0.0
Yukon,upper,4,20,3,0.7123446024583333,0.712308600611,0.71137232441,0.713298879583,0.710436048209,0.714289158555,0.0019268074461065428
Yukon,upper,3,7,1,0.714289158555,0.714289158555,0.714289158555,0.714289158555,0.714289158555,0.714289158555,0.0
Yukon,upper,4,47,7,0.7111916807064287,0.711256900073,0.7111371566875,0.7112984650745,0.710861809672,0.711351811676,0.00016784213497212844
Yukon,upper,3,8,1,0.711351811676,0.711351811676,0.711351811676,0.711351811676,0.711351811676,0.711351811676,0.0
Yukon,upper,3,10,1,0.710436048209,0.710436048209,0.710436048209,0.710436048209,0.710436048209,0.710436048209,0.0
Yukon,upper,3,11,1,0.723579367851,0.723579367851,0.723579367851,0.723579367851,0.723579367851,0.723579367851,0.0
Yukon,upper,3,12,1,0.718091633886,0.718091633886,0.718091633886,0.718091633886,0.718091633886,0.718091633886,0.0
Yukon,upper,4,33,3,0.7060670146033333,0.706035345712,0.7057905534585001,0.7063276413024999,0.705545761205,0.706619936893,0.0005377876357645743
Yukon,upper,3,14,1,0.705545761205,0.705545761205,0.705545761205,0.705545761205,0.705545761205,0.705545761205,0.0
Yukon,upper,3,15,1,0.722985136159,0.722985136159,0.722985136159,0.722985136159,0.722985136159,0.722985136159,0.0
Yukon,upper,3,17,1,0.711320451821,0.711320451821,0.711320451821,0.711320451821,0.711320451821,0.711320451821,0.0
Yukon,upper,3,21,1,0.711256900073,0.711256900073,0.711256900073,0.711256900073,0.711256900073,0.711256900073,0.0
Yukon,upper,3,25,1,0.719682021277,0.719682021277,0.719682021277,0.719682021277,0.719682021277,0.719682021277,0.0
Yukon,upper,3,26,1,0.716306388895,0.716306388895,0.716306388895,0.716306388895,0.716306388895,0.716306388895,0.0
Yukon,upper,6,195,81,0.709573784014605,0.708923959919,0.708245274985,0.7108175624,0.702741096735,0.717839291839,0.00296981157062181
Yukon,upper,5,116,25,0.7095164487807201,0.708787554837,0.70855068642,0.709959632766,0.707383748963,0.717467387425,0.0020143667243467983
Yukon,upper,4,70,3,0.7088385255143334,0.708904019064,0.708724480209,0.7089853175945,0.708544941354,0.709066616125,0.00026693294187945485
Yukon,upper,3,27,1,0.709066616125,0.709066616125,0.709066616125,0.709066616125,0.709066616125,0.709066616125,0.0
Yukon,upper,3,29,1,0.721888356579,0.721888356579,0.721888356579,0.721888356579,0.721888356579,0.721888356579,0.0
Yukon,upper,3,35,1,0.723654262994,0.723654262994,0.723654262994,0.723654262994,0.723654262994,0.723654262994,0.0
Yukon,upper,4,122,5,0.706186668922,0.70763360898,0.704652340133,0.707707423052,0.702935405203,0.708004567242,0.002271341209531036
Yukon,upper,3,36,1,0.702935405203,0.702935405203,0.702935405203,0.702935405203,0.702935405203,0.702935405203,0.0
Yukon,upper,3,40,1,0.706619936893,0.706619936893,0.706619936893,0.706619936893,0.706619936893,0.706619936893,0.0
Yukon,upper,5,124,17,0.7127764178546472,0.711818005544,0.711112094474,0.715799881783,0.707791685445,0.717839291839,0.0033538481224262566
Yukon,upper,4,101,11,0.7144736442072727,0.715149955432,0.711653004883,0.7163640250915,0.711112094474,0.717839291839,0.0024956381971710326
Yukon,upper,3,41,1,0.715149955432,0.715149955432,0.715149955432,0.715149955432,0.715149955432,0.715149955432,0.0
Yukon,upper,3,42,1,0.722710349883,0.722710349883,0.722710349883,0.722710349883,0.722710349883,0.722710349883,0.0
Yukon,upper,3,44,1,0.704652340133,0.704652340133,0.704652340133,0.704652340133,0.704652340133,0.704652340133,0.0
Yukon,upper,3,46,1,0.72273497841,0.72273497841,0.72273497841,0.72273497841,0.72273497841,0.72273497841,0.0
Yukon,upper,3,50,1,0.723466753697,0.723466753697,0.723466753697,0.723466753697,0.723466753697,0.723466753697,0.0
Yukon,upper,3,52,1,0.711119877694,0.711119877694,0.711119877694,0.711119877694,0.711119877694,0.711119877694,0.0
Yukon,upper,3,53,1,0.710647054851,0.710647054851,0.710647054851,0.710647054851,0.710647054851,0.710647054851,0.0
Yukon,upper,4,85,5,0.7086393952014001,0.708562175974,0.708534945561,0.708787554837,0.708245274985,0.70906702465,0.00030701038433830134
Yukon,upper,3,54,1,0.708245274985,0.708245274985,0.708245274985,0.708245274985,0.708245274985,0.708245274985,0.0
Yukon,upper,4,81,5,0.712086369406,0.711924177382,0.71083507085,0.7121572705,0.708047940873,0.717467387425,0.00342276720034312
Yukon,upper,3,58,1,0.711924177382,0.711924177382,0.711924177382,0.711924177382,0.711924177382,0.711924177382,0.0
Yukon,upper,3,59,1,0.720269347695,0.720269347695,0.720269347695,0.720269347695,0.720269347695,0.720269347695,0.0
Yukon,upper,3,69,1,0.708544941354,0.708544941354,0.708544941354,0.708544941354,0.708544941354,0.708544941354,0.0
Yukon,upper,3,72,1,0.717839291839,0.717839291839,0.717839291839,0.717839291839,0.717839291839,0.717839291839,0.0
Yukon,upper,3,74,1,0.70906702465,0.70906702465,0.70906702465,0.70906702465,0.70906702465,0.70906702465,0.0
Yukon,upper,3,76,1,0.711555939824,0.711555939824,0.711555939824,0.711555939824,0.711555939824,0.711555939824,0.0
Yukon,upper,3,77,1,0.711112094474,0.711112094474,0.711112094474,0.711112094474,0.711112094474,0.711112094474,0.0
Yukon,upper,3,79,1,0.717467387425,0.717467387425,0.717467387425,0.717467387425,0.717467387425,0.717467387425,0.0
Yukon,upper,3,84,1,0.708047940873,0.708047940873,0.708047940873,0.708047940873,0.708047940873,0.708047940873,0.0
Yukon,upper,3,87,1,0.708787554837,0.708787554837,0.708787554837,0.708787554837,0.708787554837,0.708787554837,0.0
Yukon,upper,3,88,1,0.711750069942,0.711750069942,0.711750069942,0.711750069942,0.711750069942,0.711750069942,0.0
Yukon,upper,3,90,1,0.711541576045,0.711541576045,0.711541576045,0.711541576045,0.711541576045,0.711541576045,0.0
Yukon,upper,4,109,3,0.7083573424803333,0.707886568284,0.707879226372,0.7086000714905,0.70787188446,0.709313574697,0.0008281539366658824
