"basin","stream_order","assumed_cv","n_simulations","n_values","p05","q25","median","q75","p95"
"Kuskokwim",3,0.25,250,78000,0.0594861626843792,0.100503032497821,0.142723716330285,0.200134010319961,0.301851442720008
"Kuskokwim",4,0.25,250,21250,0.0290862374005629,0.0490931997354816,0.0686954522212076,0.0958174362584132,0.151329944373841
"Kuskokwim",5,0.25,250,6000,0.0147891557705782,0.02328792755914,0.0318198495621703,0.0438768848773463,0.077614203075498
"Kuskokwim",6,0.25,250,1750,0.00898990433652971,0.0148036296924208,0.0199787576172818,0.0275518773677018,0.0401695268399857
"Kuskokwim",7,0.25,250,250,0.00061179739309311,0.000872091787020346,0.00107058058501952,0.00132845412547853,0.00169563319215914
"Kuskokwim",8,0.25,250,250,2.3229274734685e-16,3.54576799536573e-16,4.60441492785073e-16,5.63923356864406e-16,6.95284625551887e-16
"Kuskokwim",3,1,250,78000,0.208883457890495,0.346862919610526,0.486355741699429,0.668613814961425,1.02684518519456
"Kuskokwim",4,1,250,21250,0.110113691339276,0.181520506709658,0.251433264711434,0.348825384813794,0.562212706367639
"Kuskokwim",5,1,250,6000,0.0550021796597025,0.0895647421046653,0.122259127580338,0.168004668579922,0.289623273383608
"Kuskokwim",6,1,250,1750,0.033316350269173,0.0568615603708416,0.0771524451628622,0.105179079764306,0.154257626360173
"Kuskokwim",7,1,250,250,0.00214481813163885,0.00317599598339995,0.00426791377354007,0.00540278857996553,0.00675734978975558
"Kuskokwim",8,1,250,250,2.43237677779525e-16,3.47554781454618e-16,4.35682975704589e-16,5.27794000682245e-16,6.7367516175196e-16
"Yukon",4,0.25,250,541000,0.0620620808152394,0.119983371575371,0.175140137387059,0.242410369063654,0.356532103660261
"Yukon",5,0.25,250,135750,0.0301034988709533,0.0585152322603848,0.0862573731808987,0.122446691998214,0.193010599303638
"Yukon",6,0.25,250,33250,0.0158782113812012,0.0301044763147936,0.0442707820935681,0.0626509902878894,0.0975929225424831
"Yukon",7,0.25,250,7250,0.00795096377330482,0.014843187106595,0.0213610448423479,0.0296202235320633,0.0441037250507436
"Yukon",8,0.25,250,2000,0.0037564716254762,0.00699122590705142,0.0100964312033401,0.0140411946963591,0.0212362135244186
"Yukon",9,0.25,250,250,1.57009245868378e-16,2.88428114821866e-16,4.05396129632541e-16,5.42948416683968e-16,7.61395679159534e-16
"Yukon",4,1,250,541000,0.211400891561376,0.396391381978925,0.560770169659357,0.760707849340747,1.12906728289548
"Yukon",5,1,250,135750,0.109608256340373,0.21017793572489,0.306219318200364,0.429677562292122,0.679493577690871
"Yukon",6,1,250,33250,0.0584170207834503,0.113851445262181,0.166592097399224,0.236651780358617,0.374596986389195
"Yukon",7,1,250,7250,0.0298556153364145,0.05722943503996,0.0823986150852481,0.116735467447249,0.176408081661902
"Yukon",8,1,250,2000,0.014778307371426,0.0279418647605801,0.0392616557059577,0.0543215990946849,0.0813668648443309
"Yukon",9,1,250,250,1.57009245868378e-16,3.20493781063927e-16,4.29987528494926e-16,5.61548227651582e-16,7.16645880824876e-16
