"basin","stream_order","assumed_cv","n_simulations","n_values","q25_absolute_change","median_absolute_change","q75_absolute_change"
"Kuskokwim",3,0.25,250,78000,6.61766375348233,14.3476295774283,25.8594967682696
"Kuskokwim",4,0.25,250,21250,3.22666364494208,6.97215609286359,12.645168081449
"Kuskokwim",5,0.25,250,6000,1.48406396025698,3.31533620466892,5.82318918257476
"Kuskokwim",6,0.25,250,1750,0.876325028215569,1.98831866765461,3.63153021846892
"Kuskokwim",7,0.25,250,250,0.0451398020914659,0.115950938358771,0.187806605624075
"Kuskokwim",8,0.25,250,250,2.22044604925031e-14,4.44089209850063e-14,8.88178419700125e-14
"Kuskokwim",3,1,250,78000,22.9336274586907,49.1246816724224,84.3079802059017
"Kuskokwim",4,1,250,21250,11.9658360142013,25.509382093636,45.040199048416
"Kuskokwim",5,1,250,6000,6.18367538959233,12.8636047734877,22.1370020104563
"Kuskokwim",6,1,250,1750,3.76289420620492,7.7150256702614,13.6023212636136
"Kuskokwim",7,1,250,250,0.186454634823882,0.40566261410209,0.712162057416983
"Kuskokwim",8,1,250,250,2.22044604925031e-14,4.44089209850063e-14,7.77156117237609e-14
"Yukon",4,0.25,250,541000,8.68978432936948,18.7189091493166,32.8009389263392
"Yukon",5,0.25,250,135750,4.25749880576958,9.23023696233585,16.3785319937574
"Yukon",6,0.25,250,33250,2.18990054882124,4.71509957482313,8.39755280408076
"Yukon",7,0.25,250,7250,1.06821905468038,2.25962304606915,4.0320306452997
"Yukon",8,0.25,250,2000,0.499680034922792,1.04617731843267,1.82936435767387
"Yukon",9,0.25,250,250,2.22044604925031e-14,4.44089209850063e-14,7.7715611723761e-14
"Yukon",4,1,250,541000,29.6325870570077,62.0451946944219,102.063050368949
"Yukon",5,1,250,135750,15.503550803626,32.8988656888011,57.2439705107169
"Yukon",6,1,250,33250,8.26299025465415,17.871159159005,31.3229277348606
"Yukon",7,1,250,7250,4.23095244641625,9.12678993988065,15.7851160893059
"Yukon",8,1,250,2000,2.00609551275343,4.13499665857008,7.42210139845059
"Yukon",9,1,250,250,2.22044604925031e-14,4.44089209850063e-14,7.7715611723761e-14
