"basin","assigned_length_bin","n_tributaries","n_pairwise_values","median_assigned_upstream_length_km","q25_absolute_change","median_absolute_change","q75_absolute_change","mean_absolute_change"
"Kuskokwim",1,6,90,0.326584477050822,5.47504263093184,10.6674450459009,17.0938184478307,31.5946848742045
"Kuskokwim",2,6,90,1.00767817026964,5.74618925180516,11.5174230117716,17.9884483898913,32.8932721879838
"Kuskokwim",3,27,405,2.33251562947534,4.65933482346157,10.8889222701053,17.162811475038,12.3012197800904
"Kuskokwim",4,62,930,6.45894504345515,6.11116186587631,11.5244783545028,19.1620538425723,19.1992522352854
"Kuskokwim",5,114,1710,16.5927721544135,4.51766027594835,9.95323146029013,17.2153695176371,15.2445828267765
"Kuskokwim",6,109,1635,37.3293580574154,4.1021819988975,9.28532445324758,16.5698153221337,13.1693286183636
"Kuskokwim",7,56,840,85.5165773745275,4.79762451246553,10.8730033051872,18.5420563595059,17.4427881744743
"Kuskokwim",8,28,420,225.300169894317,4.02887620335371,8.83496383232486,16.0763626274299,10.9645149815397
"Kuskokwim",9,15,225,637.574169682745,1.75523545647573,5.70093238115603,12.0071111924447,8.48223340932685
"Kuskokwim",10,5,75,1381.59497300398,4.71031291233965,8.51604179178314,16.4737182262835,12.3983249379463
"Kuskokwim",12,2,30,16749.6465141512,2.77555756156289e-15,1.11022302462516e-14,1.11022302462516e-14,1.03620815631681e-14
"Yukon",1,3,18,0.0505080562005646,21.1049594262395,27.5196251997179,42.7231369074586,31.975571908226
"Yukon",2,9,54,0.281905533557043,12.1789581598628,29.3845855758811,52.8284714955189,33.2710357294842
"Yukon",3,45,270,0.817730897682122,17.6472502252377,41.3114038796751,57.7155272207198,42.5826472991799
"Yukon",4,249,1494,2.86572383139103,17.6216928458684,39.5986065953334,58.8418233063632,41.3248573583887
"Yukon",5,876,5256,9.39336979232967,17.4544801291876,39.1711117883495,60.1743245400757,42.1510421564175
"Yukon",6,995,5970,26.5870318657902,17.7505405908949,38.8254622974837,59.1205623866475,41.8552427731041
"Yukon",7,470,2820,84.4658639424707,17.9486254933849,38.4435778043565,58.4345801365373,41.8952960592982
"Yukon",8,170,1020,283.594483423004,18.1123265971196,39.4798474060535,59.1335288236335,42.2616521760593
"Yukon",9,45,270,974.678732751638,18.1573614587163,33.7982714818472,54.9140482719909,38.405678464799
"Yukon",10,11,66,3249.82241923246,15.7571998760094,33.1972888434814,53.0140255863589,37.1107394182255
"Yukon",11,4,24,10420.4532561578,14.6033027026904,27.0563065696727,40.055034700842,28.7764642444372
"Yukon",12,1,6,93761.4309151278,2.22044604925031e-14,2.77555756156289e-14,4.16333634234434e-14,3.14563190310461e-14
