"basin","stream_order","n_catchments","n_catchment_years","pct_zero","p05_fish","q25_fish","median_fish","q75_fish","p95_fish","mean_fish","mean_total_fish_at_order","mean_basin_total_run"
"Kuskokwim",3,312,1872,0,14.0003657382743,72.9119951445525,162.486082032968,337.826472263505,740.04195603783,249.108156670629,77721.7448812363,147260.166666667
"Kuskokwim",4,85,510,0,197.62427568742,483.698062512991,844.110712269082,1437.23484698761,3060.37180721372,1120.04543939879,95203.8623488969,147260.166666667
"Kuskokwim",5,24,144,0,533.28301627872,2156.59591602606,3533.45483233894,7241.07154603223,12151.0428035115,5039.07499184493,120937.799804278,147260.166666667
"Kuskokwim",6,7,42,0,2951.89512703441,6815.26010267088,9177.35553154884,15956.2344303357,26014.0375750348,12680.4434675893,88763.1042731252,147260.166666667
"Kuskokwim",7,1,6,0,126554.25,131154.5,132143,140827.25,200628.5,147260.166666667,147260.166666667,147260.166666667
"Yukon",4,2164,8656,0,5.46877255859078,12.3718376938229,22.7781257997009,43.7616957765627,110.963501536618,35.9809002522867,77862.6681459483,168962.25
"Yukon",5,543,2172,0,26.0676165195768,68.4258641186634,126.05564569172,235.577790040463,519.805935478728,185.973901800181,100983.828677499,168962.25
"Yukon",6,133,532,0,109.286809346048,311.895609681824,554.449395472524,964.069039558049,2223.11767700019,784.55029602201,104345.189370927,168962.25
"Yukon",7,29,116,0,560.299353875096,1595.18615286334,2769.84665202074,4077.83858071609,8882.60790155684,3344.97793736056,97004.3601834563,168962.25
"Yukon",8,1,4,0,113883.55,159709.75,184378.5,193631,202458.2,168962.25,168962.25,168962.25
