basin,reachid,stream_order,n_upstream_reaches,n_unit_reaches,is_outlet,in_domain,nested,mean_production,sd_production,cv,n_years,prod_2015,prod_2016,prod_2018,prod_2021
Yukon,1,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,2,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,3,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,5,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,6,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,7,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,8,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,10,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,11,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,12,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,14,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,15,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,17,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,21,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,25,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,26,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,27,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,28,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,29,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,30,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,31,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,35,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,36,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,40,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,41,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,42,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,44,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,46,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,48,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,50,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,52,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,53,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,54,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,58,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,59,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,65,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,69,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,72,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,73,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,74,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,75,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,76,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,77,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,78,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,79,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,84,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,87,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,88,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,89,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,90,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,91,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,92,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,95,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,97,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,98,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,99,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,103,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,108,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,110,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,111,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,112,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,114,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,115,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,117,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,118,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,120,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,123,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,125,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,133,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,134,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,135,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,139,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,140,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,141,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,145,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,147,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,148,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,150,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,152,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,153,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,155,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,156,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,157,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,158,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,161,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,162,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,163,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,166,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,168,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,169,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,170,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,172,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,175,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,177,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,181,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,182,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,185,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,186,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,187,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,189,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,190,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,193,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,194,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,199,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,200,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,201,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,206,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,207,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,211,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,213,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,215,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,218,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,219,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,220,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,221,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,224,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,225,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,227,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,228,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,230,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,232,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,233,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,236,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,237,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,241,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,243,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,244,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,247,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,248,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,249,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,252,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,254,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,256,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,260,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,263,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,264,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,265,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,268,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,270,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,271,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,273,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,274,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,278,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,279,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,280,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,281,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,285,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,288,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,293,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,296,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,297,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,298,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,301,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,302,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,304,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,307,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,308,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,310,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,311,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,312,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,315,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,316,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,317,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,318,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,319,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,323,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,325,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,326,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,327,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,328,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,330,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,331,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,332,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,337,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,338,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,340,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,342,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,345,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,346,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,347,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,348,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,349,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,351,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,353,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,354,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,355,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
Yukon,357,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,359,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,360,3,0,1,0,TRUE,TRUE,0,0,NA,4,0,0,0,0
Yukon,362,3,0,1,0,TRUE,FALSE,0,0,NA,4,0,0,0,0
