reachid,Str_Order,avg_rescale,n_years
7,3,0,6
151,4,0,6
156,3,0,6
205,4,0,6
206,4,0,6
210,4,0,6
259,4,0,6
358,3,0,6
360,4,0,6
127,3,0,6
1244,3,0,6
1245,7,0,6
608,3,0,6
362,4,0,6
40,3,0,6
44,3,0,6
47,3,0,6
52,3,0,6
56,3,0,6
57,4,0,6
58,3,0,6
60,3,0,6
69,3,0,6
71,4,0,6
74,3,0,6
79,4,0,6
81,4,0,6
83,4,0,6
87,4,0,6
89,3,0,6
95,4,0,6
99,3,0,6
105,3,0,6
199,3,0,6
201,4,0,6
313,3,0,6
8,2,0,6
9,2,0,6
10,1,0,6
11,1,0,6
12,1,0,6
13,1,0,6
14,1,0,6
15,1,0,6
16,1,0,6
17,2,0,6
18,1,0,6
19,1,0,6
20,1,0,6
21,1,0,6
22,2,0,6
23,1,0,6
24,2,0,6
25,1,0,6
26,2,0,6
27,2,0,6
1,1,0,6
2,1,0,6
3,2,0,6
28,1,0,6
29,1,0,6
30,1,0,6
152,1,0,6
153,1,0,6
154,2,0,6
155,1,0,6
207,1,0,6
208,1,0,6
209,2,0,6
4,1,0,6
5,2,0,6
6,1,0,6
260,2,0,6
261,2,0,6
359,1,0,6
76,1,0,6
77,2,0,6
78,1,0,6
128,1,0,6
129,1,0,6
1162,2,0,6
1163,1,0,6
1164,1,0,6
1165,1,0,6
1166,2,0,6
1167,1,0,6
1243,2,0,6
607,1,0,6
609,1,0,6
361,1,0,6
363,1,0,6
31,2,0,6
32,2,0,6
33,1,0,6
34,1,0,6
35,2,0,6
36,1,0,6
37,1,0,6
38,1,0,6
39,2,0,6
41,1,0,6
42,2,0,6
43,1,0,6
45,1,0,6
46,1,0,6
48,1,0,6
49,2,0,6
50,1,0,6
51,1,0,6
53,1,0,6
54,2,0,6
55,1,0,6
59,1,0,6
61,1,0,6
62,2,0,6
63,1,0,6
64,2,0,6
65,1,0,6
66,1,0,6
67,1,0,6
68,1,0,6
70,1,0,6
72,1,0,6
73,2,0,6
75,1,0,6
80,1,0,6
82,2,0,6
84,1,0,6
85,1,0,6
86,2,0,6
88,2,0,6
90,1,0,6
91,1,0,6
92,2,0,6
93,1,0,6
94,1,0,6
96,1,0,6
97,1,0,6
98,1,0,6
100,2,0,6
101,1,0,6
102,1,0,6
103,1,0,6
104,1,0,6
139,1,0,6
140,2,0,6
141,1,0,6
200,2,0,6
532,1,0,6
533,1,0,6
534,1,0,6
405,3,0,6
228,4,0,6
388,3,0,6
320,3,0,6
323,3,0,6
324,3,0,6
399,3,0,6
484,4,0,6
486,3,0,6
548,4,0,6
637,3,0,6
638,5,0,6
641,5,0,6
642,3,0,6
643,5,0,6
745,3,0,6
747,4,0,6
748,3,2.2029911067938804e-4,6
5599,6,2.2027891101834523e-4,6
11522,5,3.698974415586894e-4,6
7473,5,4.2101382013252e-4,6
1642,7,0,6
1643,3,0.00043320630501318946,6
1976,3,0,6
513,3,0,6
888,4,0,6
890,4,0,6
891,4,0,6
