reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,assignment_individuals,GENLMU
13,4,0.720059246918,0,0,0,0,upper
14,3,0.705545761205,14.87349220910164,1.1662101094868492e-4,0.26542760159408557,10.789721267569249,upper
1,3,0.720572401092,0,0,0,0,upper
2,3,0.722397055908,0,0,0,0,upper
3,3,0.712091189936,0,0,0,0,upper
4,4,0.720535547828,0,0,0,0,upper
5,3,0.722416298929,0,0,0,0,upper
6,3,0.720790379022,0,0,0,0,upper
7,3,0.714289158555,0,0,0,0,upper
8,3,0.711351811676,0,0,0,0,upper
9,4,0.717148487891,0,0,0,0,upper
10,3,0.710436048209,0,0,0,0,upper
15,3,0.722985136159,0,0,0,0,upper
16,4,0.72335616682,0,0,0,0,upper
17,3,0.711320451821,0,0,0,0,upper
18,4,0.711276478328,0,0,0,0,upper
11,3,0.723579367851,0,0,0,0,upper
12,3,0.718091633886,0,0,0,0,upper
19,4,0.721223032119,0,0,0,0,upper
20,4,0.712308600611,0,0,0,0,upper
21,3,0.711256900073,0,0,0,0,upper
22,5,0.716195141723,0,0,0,0,upper
71,5,0.711708495547,0,0,0,0,upper
72,3,0.717839291839,0,0,0,0,upper
93,5,0.708796348579,0,0,0,0,upper
94,5,0.708772162191,0,0,0,0,upper
121,4,0.708923959919,0,0,0,0,upper
122,4,0.708004567242,34.5515584591347,2.709140274999514e-4,0.6165961002442941,25.06483883496148,upper
141,3,0.708874199591,0,0,0,0,upper
142,4,0.703817444745,0,0,0,0,upper
171,5,0.711290691902,52.69020383961906,4.1313665630647475e-4,0.9402925846893818,38.22320978613232,upper
172,3,0.712573950359,0,0,0,0,upper
174,4,0.708109544736,0,0,0,0,upper
23,4,0.711154435681,0,0,0,0,upper
24,4,0.720866047687,0,0,0,0,upper
25,3,0.719682021277,0,0,0,0,upper
26,3,0.716306388895,0,0,0,0,upper
27,3,0.709066616125,48.776856808205885,3.824526393600602e-4,0.870456240799834,35.38433892119992,upper
28,3,0.707782910986,31.869096659462166,2.498812127103214e-4,0.5687257419017432,23.118892669631357,upper
29,3,0.721888356579,0,0,0,0,upper
30,3,0.708770996513,44.79561778757703,3.5123629064472833e-4,0.7994083181087763,32.496216970534626,upper
31,3,0.709649554717,49.88973685520498,3.911785790601015e-4,0.890316343429674,36.19165877201557,upper
32,4,0.720916013051,12.090355535216453,9.479881828849493e-5,0.2157606315326877,8.77074223167108,upper
33,4,0.706035345712,15.720235895084116,1.2326021197057167e-4,0.28053831954623754,11.403977034028344,upper
34,4,0.72092235782,0,0,0,0,upper
35,3,0.723654262994,10.429589722639856,8.177698150068412e-5,0.18612313414845474,7.565967995971127,upper
36,3,0.702935405203,0,0,0,0,upper
37,5,0.714810983703,0,0,0,0,upper
38,5,0.713910457019,0,0,0,0,upper
39,5,0.713431774013,0,0,0,0,upper
40,3,0.706619936893,17.79723783559845,1.3954569910700474e-4,0.3176038342099441,12.9107026701662,upper
41,3,0.715149955432,33.70194607922473,2.6425233344272214e-4,0.6014341884946012,24.448502023415973,upper
42,3,0.722710349883,0,0,0,0,upper
43,4,0.721005008243,0,0,0,0,upper
44,3,0.704652340133,9.235782926977032,7.241650627198075e-5,0.16481883855433735,6.699941215478407,upper
45,4,0.720716332555,0,0,0,0,upper
46,3,0.72273497841,0,0,0,0,upper
47,4,0.710861809672,0,0,0,0,upper
48,3,0.710630699532,48.21210212541742,3.7802447540778467e-4,0.8603778087252307,34.97464726801081,upper
49,4,0.70763360898,27.88521699068577,0.00021864415903530708,0.49763069504545226,20.22885510580157,upper
50,3,0.723466753697,10.502964259691119,8.235230117467258e-5,0.1874325527512813,7.619196302530874,upper
51,4,0.720735241706,0,0,0,0,upper
52,3,0.711119877694,0,0,0,0,upper
53,3,0.710647054851,48.22688660954408,3.781403985185758e-4,0.8606416479169536,34.98537241988295,upper
54,3,0.708245274985,0,0,0,0,upper
55,4,0.72075624787399994,0,0,0,0,upper
56,4,0.720419955103,0,0,0,0,upper
57,4,0.720359726681,0,0,0,0,upper
58,3,0.711924177382,0,0,0,0,upper
59,3,0.720269347695,12.651368684681605,9.919764539152693e-5,0.2257722933960769,9.177719653319642,upper
60,5,0.71308192835,0,0,0,0,upper
61,5,0.717178756243,0,0,0,0,upper
