reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,assignment_individuals,GENLMU
13,4,0.720059246918,0,0,0,0,upper
14,3,0.705545761205,0,0,0,0,upper
1,3,0.720572401092,0,0,0,0,upper
2,3,0.722397055908,0,0,0,0,upper
3,3,0.712091189936,0,0,0,0,upper
4,4,0.720535547828,0,0,0,0,upper
5,3,0.722416298929,0,0,0,0,upper
6,3,0.720790379022,0,0,0,0,upper
7,3,0.714289158555,0,0,0,0,upper
8,3,0.711351811676,0,0,0,0,upper
9,4,0.717148487891,0,0,0,0,upper
10,3,0.710436048209,0,0,0,0,upper
15,3,0.722985136159,0,0,0,0,upper
16,4,0.72335616682,0,0,0,0,upper
17,3,0.711320451821,0,0,0,0,upper
18,4,0.711276478328,0,0,0,0,upper
11,3,0.723579367851,0,0,0,0,upper
12,3,0.718091633886,0,0,0,0,upper
19,4,0.721223032119,0,0,0,0,upper
20,4,0.712308600611,0,0,0,0,upper
21,3,0.711256900073,0,0,0,0,upper
22,5,0.716195141723,0,0,0,0,upper
71,5,0.711708495547,0,0,0,0,upper
72,3,0.717839291839,0,0,0,0,upper
93,5,0.708796348579,0,0,0,0,upper
94,5,0.708772162191,0,0,0,0,upper
121,4,0.708923959919,0,0,0,0,upper
122,4,0.708004567242,16.91326180130661,8.200650930630408e-5,0.1800670541455762,13.26447087378538,upper
141,3,0.708874199591,0,0,0,0,upper
142,4,0.703817444745,0,0,0,0,upper
171,5,0.711290691902,30.15825477619546,1.462268620932067e-4,0.32107988154607425,23.65204871671409,upper
172,3,0.712573950359,0,0,0,0,upper
174,4,0.708109544736,0,0,0,0,upper
23,4,0.711154435681,0,0,0,0,upper
24,4,0.720866047687,0,0,0,0,upper
25,3,0.719682021277,0,0,0,0,upper
26,3,0.716306388895,0,0,0,0,upper
27,3,0.709066616125,0,0,0,0,upper
28,3,0.707782910986,0,0,0,0,upper
29,3,0.721888356579,0,0,0,0,upper
30,3,0.708770996513,0,0,0,0,upper
31,3,0.709649554717,0,0,0,0,upper
32,4,0.720916013051,8.123636436654051,3.938868060281758e-5,0.08648830126811813,6.371079698825142,upper
33,4,0.706035345712,4.59259354706133,2.2267884804341027e-5,0.0488950505598766,3.6018080992173567,upper
34,4,0.72092235782,0,0,0,0,upper
35,3,0.723654262994,0,0,0,0,upper
36,3,0.702935405203,0,0,0,0,upper
37,5,0.714810983703,0,0,0,0,upper
38,5,0.713910457019,0,0,0,0,upper
39,5,0.713431774013,0,0,0,0,upper
40,3,0.706619936893,0,0,0,0,upper
41,3,0.715149955432,0,0,0,0,upper
42,3,0.722710349883,0,0,0,0,upper
43,4,0.721005008243,0,0,0,0,upper
44,3,0.704652340133,0,0,0,0,upper
45,4,0.720716332555,0,0,0,0,upper
46,3,0.72273497841,0,0,0,0,upper
47,4,0.710861809672,0,0,0,0,upper
48,3,0.710630699532,0,0,0,0,upper
49,4,0.70763360898,12.41634350275441,6.020252042277477e-5,0.1321906101889719,9.737697475863396,upper
50,3,0.723466753697,0,0,0,0,upper
51,4,0.720735241706,0,0,0,0,upper
52,3,0.711119877694,0,0,0,0,upper
53,3,0.710647054851,0,0,0,0,upper
54,3,0.708245274985,0,0,0,0,upper
55,4,0.72075624787399994,0,0,0,0,upper
56,4,0.720419955103,0,0,0,0,upper
57,4,0.720359726681,0,0,0,0,upper
58,3,0.711924177382,0,0,0,0,upper
59,3,0.720269347695,0,0,0,0,upper
60,5,0.71308192835,0,0,0,0,upper
61,5,0.717178756243,0,0,0,0,upper
62,5,0.713220394193,0,0,0,0,upper
63,5,0.716739137862,0,0,0,0,upper
64,5,0.712843225727,0,0,0,0,upper
65,3,0.707194367724,0,0,0,0,upper
66,5,0.712255305104,0,0,0,0,upper
67,4,0.716762260546,0,0,0,0,upper
68,4,0.715991101849,0,0,0,0,upper
69,3,0.708544941354,0,0,0,0,upper
70,4,0.708904019064,23.383078066280955,1.1337639253620286e-4,0.24894795774555853,18.338518116338278,upper
73,3,0.714782534079,0,0,0,0,upper
74,3,0.70906702465,0,0,0,0,upper
75,3,0.708582204681,0,0,0,0,upper
76,3,0.711555939824,0,0,0,0,upper
77,3,0.711112094474,0,0,0,0,upper
78,3,0.707217253423,0,0,0,0,upper
79,3,0.717467387425,0,0,0,0,upper
80,4,0.7121572705,0,0,0,0,upper
81,4,0.71083507085,0,0,0,0,upper
82,4,0.708534945561,0,0,0,0,upper
83,4,0.716736948334,0,0,0,0,upper
84,3,0.708047940873,0,0,0,0,upper
85,4,0.708562175974,0,0,0,0,upper
86,5,0.70855068642,0,0,0,0,upper
87,3,0.708787554837,0,0,0,0,upper
88,3,0.711750069942,0,0,0,0,upper
89,3,0.709959632766,0,0,0,0,upper
90,3,0.711541576045,0,0,0,0,upper
91,3,0.707383748963,0,0,0,0,upper
92,3,0.708456892406,0,0,0,0,upper
95,3,0.707886568284,0,0,0,0,upper
96,4,0.715799881783,0,0,0,0,upper
97,3,0.706661044761,0,0,0,0,upper
98,3,0.707707423052,0,0,0,0,upper
99,3,0.710163262756,0,0,0,0,upper
100,5,0.708706274704,0,0,0,0,upper
101,4,0.714970966212,0,0,0,0,upper
102,5,0.710562302252,0,0,0,0,upper
103,3,0.705831560022,0,0,0,0,upper
104,5,0.709909113629,0,0,0,0,upper
105,5,0.708766351753,0,0,0,0,upper
106,5,0.708782773851,0,0,0,0,upper
107,5,0.715378307491,0,0,0,0,upper
108,3,0.707807216522,0,0,0,0,upper
109,4,0.70787188446,0,0,0,0,upper
110,3,0.705343153109,0,0,0,0,upper
111,3,0.709313574697,0,0,0,0,upper
112,3,0.707240330104,0,0,0,0,upper
113,5,0.713307298819,0,0,0,0,upper
114,3,0.710616920278,0,0,0,0,upper
115,3,0.708900375241,0,0,0,0,upper
116,5,0.708811765271,0,0,0,0,upper
117,3,0.709142878421,0,0,0,0,upper
118,3,0.704314661382,0,0,0,0,upper
119,4,0.706744170178,0,0,0,0,upper
120,3,0.708870851003,0,0,0,0,upper
123,3,0.708958864056,0,0,0,0,upper
124,5,0.711818005544,0,0,0,0,upper
125,3,0.709424392149,0,0,0,0,upper
126,5,0.711380536957,30.617216365809714,1.484522068145324e-4,0.3259662164457933,24.011996000043805,upper
127,5,0.709668062592,24.646463641696847,1.195021086851594e-4,0.2623985931988322,19.32934657771585,upper
128,5,0.709586641029,0,0,0,0,upper
129,4,0.706786488172,0,0,0,0,upper
130,6,0.709762899884,0,0,0,0,upper
131,5,0.70910596152,0,0,0,0,upper
132,4,0.709542850424,0,0,0,0,upper
133,3,0.710821933652,0,0,0,0,upper
134,3,0.710950659466,0,0,0,0,upper
135,3,0.712603473749,0,0,0,0,upper
136,5,0.714236776756,0,0,0,0,upper
137,4,0.711366491013,30.157119578034205,1.4622135791313374e-4,0.3210677956580197,23.65115842109147,upper
138,4,0.712598667234,32.707963982822484,1.5858951302583017e-4,0.3482253624804328,25.651695142415004,upper
139,3,0.70739845159,0,0,0,0,upper
140,3,0.702741096735,0,0,0,0,upper
143,4,0.710417877465,0,0,0,0,upper
144,5,0.705766054478,0,0,0,0,upper
145,3,0.705304444492,0,0,0,0,upper
146,4,0.711773990959,0,0,0,0,upper
147,3,0.712278368456,0,0,0,0,upper
173,4,0.704144475592,0,0,0,0,upper
148,3,0.709326135914,0,0,0,0,upper
149,6,0.709848013323,0,0,0,0,upper
150,3,0.712539767564,0,0,0,0,upper
151,6,0.709784954901,0,0,0,0,upper
152,3,0.707791685445,0,0,0,0,upper
153,3,0.712269190348,0,0,0,0,upper
154,4,0.712511464857,0,0,0,0,upper
156,3,0.708249160016,0,0,0,0,upper
158,3,0.712510303068,0,0,0,0,upper
159,5,0.705767368043,0,0,0,0,upper
160,5,0.713188179246,0,0,0,0,upper
161,3,0.711449283192,0,0,0,0,upper
162,3,0.705043237132,0,0,0,0,upper
163,3,0.706603492801,0,0,0,0,upper
164,4,0.707262554018,0,0,0,0,upper
165,6,0.709843026091,0,0,0,0,upper
166,3,0.708274213626,0,0,0,0,upper
167,4,0.708200579154,0,0,0,0,upper
169,3,0.707475298519,0,0,0,0,upper
170,3,0.704158191323,0,0,0,0,upper
175,3,0.711753341444,0,0,0,0,upper
176,6,0.709823753496,0,0,0,0,upper
177,3,0.708875384008,0,0,0,0,upper
178,4,0.712252792517,0,0,0,0,upper
179,5,0.710882643152,0,0,0,0,upper
180,5,0.711098285951,28.798902171916517,1.3963583528223768e-4,0.3066075330497767,22.585956721066662,upper
181,3,0.712225267809,0,0,0,0,upper
182,3,0.711801112242,0,0,0,0,upper
183,4,0.708805825284,0,0,0,0,upper
184,5,0.706035962559,0,0,0,0,upper
185,3,0.708370331702,0,0,0,0,upper
186,3,0.708228326962,0,0,0,0,upper
187,3,0.708118355726,0,0,0,0,upper
188,4,0.703961996565,0,0,0,0,upper
189,3,0.712541228419,0,0,0,0,upper
190,3,0.712301045388,0,0,0,0,upper
191,4,0.711381467109,30.617202364369877,1.4845213892643254e-4,0.3259660673794539,24.011985019211536,upper
192,5,0.710796607231,28.21063132217422,1.3678351504497322e-4,0.30034450701746956,22.124596775009373,upper
193,3,0.707660097372,0,0,0,0,upper
194,3,0.709462665777,0,0,0,0,upper
195,6,0.708729331974,0,0,0,0,upper
196,4,0.707747229824,0,0,0,0,upper
197,5,0.711756299664,30.482224013190397,1.4779767596463444e-4,0.32452902026483765,23.906126289603655,upper
198,5,0.708081438822,0,0,0,0,upper
199,3,0.705214610004,0,0,0,0,upper
200,3,0.70426752592,0,0,0,0,upper
201,3,0.711737410488,0,0,0,0,upper
202,5,0.707068755976,0,0,0,0,upper
203,5,0.706758435913,0,0,0,0,upper
204,5,0.706591891118,0,0,0,0,upper
205,5,0.707321826525,0,0,0,0,upper
206,3,0.706632548441,0,0,0,0,upper
207,3,0.711792323243,0,0,0,0,upper
