reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,assignment_individuals,GENLMU
13,4,0.720059246918,0,0,0,0,upper
4,4,0.720535547828,0,0,0,0,upper
9,4,0.717148487891,35.89620074195983,2.007253812612965e-4,0.8592637820998811,25.92970475133428,upper
16,4,0.72335616682,0,0,0,0,upper
18,4,0.711276478328,33.97089025416415,1.8995937612088562e-4,0.8131767439937542,24.538952207296003,upper
19,4,0.721223032119,0,0,0,0,upper
20,4,0.712308600611,0,0,0,0,upper
22,5,0.716195141723,39.194281534841124,2.1916768186409596e-4,0.9382114511341006,28.312081143203915,upper
71,5,0.711708495547,30.70112105330144,1.7167538907173754e-4,0.7349067824921514,22.177026760287056,upper
93,5,0.708796348579,37.470279777065166,2.0952736052166993e-4,0.8969432322108148,27.06674443218932,upper
94,5,0.708772162191,37.42511264841162,2.0927479370590486e-4,0.8958620459852189,27.03411785092879,upper
121,4,0.708923959919,0,0,0,0,upper
122,4,0.708004567242,31.733781597319933,1.7744984924098088e-4,0.7596260504463624,22.92297152494991,upper
142,4,0.703817444745,0,0,0,0,upper
171,5,0.711290691902,33.93884623067345,1.8978019145233103e-4,0.8124096915411493,24.515805131812122,upper
174,4,0.708109544736,0,0,0,0,upper
23,4,0.711154435681,36.31330107096427,2.030577345698115e-4,0.8692481035268704,26.23099815172825,upper
24,4,0.720866047687,14.104599897727853,7.887049697435178e-5,0.3376282615602939,10.188490799146763,upper
32,4,0.720916013051,14.091376135027126,7.879655196750013e-5,0.3373117183017608,10.178938583161667,upper
33,4,0.706035345712,12.37523387776833,6.920017960032001e-5,0.29623163583860734,8.939279200769338,upper
34,4,0.72092235782,0,0,0,0,upper
37,5,0.714810983703,34.08197407047727,1.9058053771794976e-4,0.8158358081332002,24.61919386240475,upper
38,5,0.713910457019,28.060285782458887,1.5690829239767295e-4,0.6716919002532507,20.269413211931393,upper
39,5,0.713431774013,21.0298097162059,1.1759507930887174e-4,0.503400177737064,15.190932345120052,upper
43,4,0.721005008243,13.062430978923114,7.304286760851675e-5,0.3126813872881001,9.435677637668194,upper
45,4,0.720716332555,15.825622899560758,8.849416162581901e-5,0.37882517663958853,11.4316757988233,upper
47,4,0.710861809672,35.14723372037704,1.9653728648101485e-4,0.8413354158011868,25.3886866676175,upper
49,4,0.70763360898,26.243771710317116,1.4675065810321807e-4,0.6282091717303496,18.95725001377371,upper
51,4,0.720735241706,15.817873633492582,8.845082906265414e-5,0.37863967891190126,11.426078098313662,upper
55,4,0.72075624787399994,15.8087961461293,8.840006931442933e-5,0.37842238694332203,11.41952095403798,upper
56,4,0.720419955103,18.483149035495252,1.0335459074704828e-4,0.44243959575339487,13.351346032703697,upper
57,4,0.720359726681,18.54151912604311,1.0368098625513278e-4,0.443836827319103,13.393509804438052,upper
60,5,0.71308192835,19.904796028740016,1.113041962440018e-4,0.4764702103303437,14.378276070800153,upper
61,5,0.717178756243,35.879768790010345,2.0063349661189758e-4,0.8588704429473368,25.91783509232493,upper
62,5,0.713220394193,20.25381758197682,1.1325586474634487e-4,0.4848248989511388,14.63039260793283,upper
63,5,0.716739137862,40.64696742012989,2.272908515074127e-4,0.9729850578722992,29.361432197727574,upper
64,5,0.712843225727,22.97155045942763,1.2845295961201424e-4,0.5498805143852773,16.59355332268,upper
66,5,0.712255305104,26.391386984375195,1.475760973294553e-4,0.6317427060894495,19.063880253019036,upper
67,4,0.716762260546,41.28807515427046,2.308758157015344e-4,0.9883315470545699,29.824537872324214,upper
68,4,0.715991101849,0,0,0,0,upper
70,4,0.708904019064,0,0,0,0,upper
80,4,0.7121572705,0,0,0,0,upper
81,4,0.71083507085,0,0,0,0,upper
82,4,0.708534945561,0,0,0,0,upper
83,4,0.716736948334,40.64810817895711,2.2729723043459128e-4,0.9730123647383206,29.362256227540502,upper
85,4,0.708562175974,39.349602585496605,2.200362104678566e-4,0.9419294421935263,28.424277668237718,upper
86,5,0.70855068642,39.32629313296069,2.1990586801794398e-4,0.9413714731625232,28.407440030558003,upper
96,4,0.715799881783,36.320580085324075,2.0309843756629518e-4,0.8694223446242424,26.236256164814012,upper
100,5,0.708706274704,38.62595643336787,2.159897056349783e-4,0.9246071931329642,27.9015501739265,upper
101,4,0.714970966212,34.25756014846084,1.915623848694292e-4,0.8200388924243989,24.746028877432863,upper
102,5,0.710562302252,35.62630954618337,1.992161961093433e-4,0.8528032730531044,25.73474821340497,upper
104,5,0.709909113629,37.935550665447934,2.1212907531404477e-4,0.908080634358932,27.402833949068302,upper
105,5,0.708766351753,37.41402622047081,2.092128003074602e-4,0.895596665086809,27.02610954371771,upper
106,5,0.708782773851,37.445124456581716,2.093866962956398e-4,0.8963410777941421,27.04857342747075,upper
107,5,0.715378307491,35.739480849518614,1.9984903057483733e-4,0.8555123063245655,25.816497769657488,upper
