"2015","2016","2017","2018","2019","2021","Mean","SD","CV","Shp_Lng","ProdPerStrLngth"
6.53926050087116e-06,7.38425141784821e-06,0,3.89940578991043e-06,8.3209390335396e-06,1.19962037032265e-05,6.35667674089931e-06,4.07915081785608e-06,0.641711224925208,4891.8655815,1.29943814583518e-09
0,0,0,0,0,0,0,0,NA,7058.77676589,0
0,0,0,0,0,0,0,0,NA,8597.94141809,0
0,0,0,0,0,0,0,0,NA,8164.13094106,0
3.30718099181209e-05,5.45216662352884e-05,4.60856576905439e-05,3.99284351442575e-05,4.11975723524104e-05,2.47021844845223e-05,3.99178876375239e-05,1.03085968352559e-05,0.258245048657472,8738.60724564,4.56799195975312e-09
6.50792634176788e-06,1.85493059908194e-06,1.70802812653035e-06,1.9293981288809e-06,1.06153419339058e-05,6.00437126487408e-06,4.76999939917349e-06,3.59595336648089e-06,0.753868725246374,8014.63929777,5.95160832815108e-10
0,0,0,0,0,0,0,0,NA,5455.67048121,0
8.69102426907367e-06,1.86819736295592e-06,5.16480052575445e-06,9.6565479643458e-06,1.53910185671172e-05,9.06292343760164e-06,8.30575202114145e-06,4.56190927661066e-06,0.549246987509232,7866.17479176,1.05588195546353e-09
0,0,0,0,0,0,0,0,NA,7836.85673964,0
4.69901085476324e-05,5.49072775516799e-05,4.55314781760739e-05,5.3042727810751e-05,4.62519613165979e-05,4.77306233014998e-05,4.90756961173725e-05,3.90994981841993e-06,0.0796718157409045,4344.10402577,1.12970812453493e-08
2.22570084758062e-05,1.29772252327264e-05,1.75348075854957e-05,1.58963579808789e-05,3.87767483278093e-05,2.29212134083388e-05,2.17272268351759e-05,9.1709366419726e-06,0.422094209792345,12791.3728835,1.69858443132422e-09
3.2261189656637e-05,1.65031953522135e-05,1.02042185639822e-05,2.31172908908032e-05,1.64338619987663e-05,2.83581763723775e-05,2.11463221391299e-05,8.28168312381699e-06,0.391637045408112,5501.5188739,3.84372436482062e-09
0,0,0,0,0,0,0,0,NA,1700.30504452,0
0,0,0,0,0,0,0,0,NA,1820.76644061,0
5.13163498688019e-05,5.30833556717137e-05,4.550010494592e-05,5.40139358759581e-05,4.74277739581573e-05,4.92526825500934e-05,5.00990338117741e-05,3.30806831535996e-06,0.0660305811043907,854.582135793,5.86240125008994e-08
5.37749582251866e-05,5.69743888945945e-05,4.56596403332505e-05,5.52391571899633e-05,4.76537698941522e-05,5.10201986325246e-05,5.17203521949453e-05,4.42646204240613e-06,0.085584530161779,2601.383981,1.98818600301611e-08
0,0,0,0,0,0,0,0,NA,2289.12063309,0
6.62351059160642e-06,1.88436260152715e-06,8.60238805550102e-06,9.76412325778761e-06,1.31252150683606e-05,1.82886940211238e-05,9.71471559931775e-06,5.60810668152975e-06,0.577279553291668,1701.73010389,5.70872876792318e-09
1.08570184522898e-05,3.69331685448045e-06,1.37433429650364e-05,1.364776848208e-05,1.42688945050945e-05,1.35897317544934e-05,1.16333455022457e-05,4.07259852096655e-06,0.350079735891998,1251.71934352,9.29389288618904e-09
4.29397252794461e-06,1.28813951302681e-05,3.58363108453106e-05,1.832378953595e-05,1.76547710850604e-05,7.4843471719351e-06,1.60790977160781e-05,1.11431869140669e-05,0.69302314786758,486.083949798,3.3078849286754e-08
5.37654631089114e-05,5.51059633626822e-05,4.56035197666148e-05,5.42460404639084e-05,4.76202609028656e-05,5.24913456549352e-05,5.14720988766529e-05,3.91088182067056e-06,0.0759806168006195,3757.99581991,1.36966886987878e-08
2.21809311964646e-05,1.86403484650409e-05,1.93566589966216e-05,2.37363358173977e-05,5.08426220962728e-05,2.61427798372253e-05,2.68166127348371e-05,1.20928328609047e-05,0.450945575434105,4769.75576041,5.622219266953e-09
5.48716804132213e-05,7.55825193764601e-05,5.81630901826288e-05,6.07883909372973e-05,5.63000991915689e-05,5.19550485890065e-05,5.96101381150305e-05,8.37387515204788e-06,0.140477365375143,10236.273519,5.82342177594077e-09
1.54697853262707e-05,1.92119406281763e-06,1.04362242911958e-05,1.28429244226819e-05,2.40980455620496e-05,2.30506513457087e-05,1.46364708351207e-05,8.28916625697391e-06,0.566336403792351,2758.78636273,5.30540205390786e-09
5.65412794959369e-05,6.18080319134289e-05,5.11577014824177e-05,6.91063050643862e-05,5.59501532375354e-05,9.11892768798512e-05,6.4292124678926e-05,1.45257082956784e-05,0.225932932971489,2422.78459863,2.65364592111412e-08
5.66148098998656e-05,6.7420610659734e-05,5.29761804263143e-05,6.83044383361517e-05,5.84128801292468e-05,9.13182364837599e-05,6.58411926558454e-05,1.38813285253298e-05,0.210830453784276,3106.05519146,2.11976892222887e-08
5.59535315668412e-05,5.19049062628286e-05,4.69791087318307e-05,6.05392724218941e-05,4.58874917067323e-05,8.57753289237501e-05,5.78399399356461e-05,1.47463499763298e-05,0.254950990487487,4960.97326076,1.16589904632514e-08
2.9318810555265e-05,5.46989136978199e-05,4.78570179110128e-05,5.61819987034019e-05,3.9168122976445e-05,5.7279172988242e-05,4.74173394720311e-05,1.11615050402798e-05,0.235388681958071,6265.63941144,7.56783727219525e-09
6.05660560366401e-05,5.95879554356692e-05,5.07595470156903e-05,6.2893483788479e-05,4.97271508251421e-05,8.92711354700051e-05,6.21342214286043e-05,1.43474723570665e-05,0.230910954176073,10446.693442,5.94774047631179e-09
0,0,0,0,0,0,0,0,NA,1846.69932744,0
5.44246396435888e-05,6.50303656065655e-05,4.9655666395005e-05,5.78538256085164e-05,5.41106927198497e-05,5.76191809972583e-05,5.6449061828464e-05,5.15165587874547e-06,0.0912620283114748,33083.3732603,1.7062668121634e-09
3.33453109631086e-05,6.46942278572814e-05,5.5716485567471e-05,4.90997120782126e-05,4.51974909621349e-05,2.79570144928833e-05,4.60017069868486e-05,1.37100470154855e-05,0.298033440789601,955.014937835,4.81685732488474e-08
0,0,0,0,0,0,0,0,NA,1879.92420315,0
3.21906812006361e-05,7.07402388060006e-05,5.25063337747727e-05,6.3323319890604e-05,4.72280167869975e-05,7.82684466569606e-05,5.73761728526619e-05,1.68015672801186e-05,0.292831787914189,7434.17873247,7.71788988635181e-09
5.63820608576393e-05,6.0950965341749e-05,4.57427326307947e-05,5.6533480984993e-05,5.02750124179489e-05,6.04220059483707e-05,5.50510430302493e-05,5.95114556364213e-06,0.108102321701191,9262.20493786,5.94362178332113e-09
